codigo;nome;tema_revisao;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;n_modelos_nao_superior;sugestao_por_maioria;nivel_superior_final;observacao_orientador;peso_total;n_total;peso_superior;n_superior;pct_superior_na_ocupacao_2025_t4;voto_ponderado_ia;sugestao_ia_ponderada;sugestao_empirica_2025_t4;sugestao_hibrida;flag_revisao;dist_05
1223;Dirigentes de pesquisa e desenvolvimento;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;NA;NA;NA;NA;NA;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
1342;Dirigentes de serviços de saúde;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;734.25545814;3;623.41861082;2;84.9049;0.555555555555556;1;1;1;OK_AUTO;0.0555555555555556
1345;Dirigentes de serviços de educação;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;NA;NA;NA;NA;NA;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
1349;Dirigentes e gerentes de serviços profissionais não classificados anteriormente;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;NA;NA;NA;NA;NA;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
2320;Professores de formação profissional;ensino;1;0;1;0;1;3;2;1;;;6348.64466073;10;2096.20355273;3;33.0181;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
2412;Assessores financeiros e em investimentos;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;1;3;2;1;;;666.02340034;3;533.32152903;2;80.0755;0.555555555555556;1;1;1;OK_AUTO;0.0555555555555556
2433;Profissionais de vendas técnicas e médicas (exclusive tic);administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;;NA;NA;NA;NA;NA;0.444444444444444;0;NA;0;OK_AUTO;0.0555555555555556
2434;Profissionais de vendas de tecnologia da informação e comunicações;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;;632.034341;1;0;0;0;0.444444444444444;0;0;0;OK_AUTO;0.0555555555555556
2642;Jornalistas;cultura, comunicacao e linguagens;1;1;0;0;1;3;2;1;;;NA;NA;NA;NA;NA;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
2643;Tradutores, intérpretes e linguistas;cultura, comunicacao e linguagens;1;1;0;0;0;2;3;0;;;NA;NA;NA;NA;NA;0.444444444444444;0;NA;0;OK_AUTO;0.0555555555555556
1112;Dirigentes superiores da administração pública;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;NA;NA;NA;NA;NA;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1120;Diretores gerais e gerentes gerais;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;13233.26405124;43;1703.52636287;7;12.8731;0.333333333333333;0;0;0;OK_AUTO;0.166666666666667
1213;Dirigentes de políticas e planejamento;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;NA;NA;NA;NA;NA;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
