codigo;nome;tema_revisao;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;n_modelos_nao_superior;sugestao_por_maioria;nivel_superior_final;observacao_orientador;peso_total;n_total;peso_superior;n_superior;pct_superior_na_ocupacao_2025_t4;voto_ponderado_ia;sugestao_ia_ponderada;sugestao_empirica_2025_t4;sugestao_hibrida;flag_revisao;dist_05
1223;Dirigentes de pesquisa e desenvolvimento;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;38327.80638102;53;33933.60100306;49;88.5352;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
1330;Dirigentes de serviços de tecnologia da informação e comunicações;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;137881.73517297;203;114816.40778955;167;83.2717;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
1342;Dirigentes de serviços de saúde;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;62520.8936508;154;46158.88806225;112;73.8295;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
1344;Dirigentes de serviços de bem-estar social;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;1363.18758412;2;1363.18758412;2;100;0.555555555555556;1;1;1;OK_AUTO;0.0555555555555556
1345;Dirigentes de serviços de educação;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;151275.73636418;361;138992.99699162;331;91.8806;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
1349;Dirigentes e gerentes de serviços profissionais não classificados anteriormente;dirigentes e gerentes;1;0;0;1;1;3;2;1;;;62176.57399668;129;44855.10952897;90;72.1415;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
2320;Professores de formação profissional;ensino;1;0;1;0;1;3;2;1;;;116932.26441614;196;76921.68099902;123;65.7831;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
2412;Assessores financeiros e em investimentos;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;1;3;2;1;;;39964.20919116;73;39964.20919116;73;100;0.555555555555556;1;1;1;OK_AUTO;0.0555555555555556
2431;Profissionais da publicidade e da comercialização;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;;471321.90257613;705;315660.83008023;464;66.9735;0.444444444444444;0;NA;0;OK_AUTO;0.0555555555555556
2433;Profissionais de vendas técnicas e médicas (exclusive tic);administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;;41366.22933389;73;30455.5508788;48;73.6242;0.444444444444444;0;NA;0;OK_AUTO;0.0555555555555556
2434;Profissionais de vendas de tecnologia da informação e comunicações;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;;8100.74816601;11;6500.00266143;7;80.2395;0.444444444444444;0;NA;0;OK_AUTO;0.0555555555555556
2642;Jornalistas;cultura, comunicacao e linguagens;1;1;0;0;1;3;2;1;;;219775.11867136;411;127305.26176511;244;57.9252;0.555555555555556;1;NA;1;OK_AUTO;0.0555555555555556
