codigo;nome;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;consenso_maioria
1112;Dirigentes superiores da administração pública;1;0;0;0;1;2;0
1120;Diretores gerais e gerentes gerais;1;0;0;0;1;2;0
1211;Dirigentes financeiros;1;0;0;0;1;2;0
1212;Dirigentes de recursos humanos;1;0;0;0;1;2;0
1213;Dirigentes de políticas e planejamento;1;0;0;0;1;2;0
1219;Dirigentes de administração e de serviços não classificados anteriormente;1;0;0;0;1;2;0
1221;Dirigentes de vendas e  comercialização;1;0;0;0;1;2;0
1222;Dirigentes de publicidade e relações públicas;1;0;0;0;1;2;0
1223;Dirigentes de pesquisa e desenvolvimento;1;0;0;1;1;3;1
1330;Dirigentes de serviços de tecnologia da informação e comunicações;1;0;0;1;1;3;1
1342;Dirigentes de serviços de saúde;1;0;0;1;1;3;1
1344;Dirigentes de serviços de bem-estar social;1;0;0;1;1;3;1
1345;Dirigentes de serviços de educação;1;0;0;1;1;3;1
1346;Gerentes de sucursais de bancos, de serviços financeiros e de seguros;1;0;0;0;1;2;0
1349;Dirigentes e gerentes de serviços profissionais não classificados anteriormente;1;0;0;1;1;3;1
2230;Profissionais da medicina tradicional e alternativa;0;1;0;0;1;2;0
2320;Professores de formação profissional;1;0;1;0;1;3;1
2412;Assessores financeiros e em investimentos;1;1;0;0;1;3;1
2431;Profissionais da publicidade e da comercialização;1;1;0;0;0;2;0
2433;Profissionais de vendas técnicas e médicas (exclusive tic);1;1;0;0;0;2;0
2434;Profissionais de vendas de tecnologia da informação e comunicações;1;1;0;0;0;2;0
2642;Jornalistas;1;1;0;0;1;3;1
2643;Tradutores, intérpretes e linguistas;1;1;0;0;0;2;0
