codigo;nome;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;n_modelos_nao_superior;consenso_maioria;concordancia_unanime;padrao_votos
1111;Legisladores;0;0;0;0;1;1;4;0;0;00001
1112;Dirigentes superiores da administração pública;1;0;0;0;1;2;3;0;0;10001
1113;Chefes de pequenas populações;0;0;0;0;0;0;5;0;1;00000
1114;Dirigentes de organizações que apresentam um interesse especial;0;0;0;0;1;1;4;0;0;00001
1120;Diretores gerais e gerentes gerais;1;0;0;0;1;2;3;0;0;10001
1211;Dirigentes financeiros;1;0;0;0;1;2;3;0;0;10001
1212;Dirigentes de recursos humanos;1;0;0;0;1;2;3;0;0;10001
1213;Dirigentes de políticas e planejamento;1;0;0;0;1;2;3;0;0;10001
1219;Dirigentes de administração e de serviços não classificados anteriormente;1;0;0;0;1;2;3;0;0;10001
1221;Dirigentes de vendas e  comercialização;1;0;0;0;1;2;3;0;0;10001
1222;Dirigentes de publicidade e relações públicas;1;0;0;0;1;2;3;0;0;10001
1223;Dirigentes de pesquisa e desenvolvimento;1;0;0;1;1;3;2;1;0;10011
1311;Dirigentes de produção agropecuária e silvicultura;0;0;0;0;1;1;4;0;0;00001
1312;Dirigentes de produção da aquicultura e pesca;0;0;0;0;1;1;4;0;0;00001
1321;Dirigentes de indústria de transformação;0;0;0;0;1;1;4;0;0;00001
1322;Dirigentes de explorações de mineração;0;0;0;0;1;1;4;0;0;00001
1323;Dirigentes de empresas de construção;0;0;0;0;1;1;4;0;0;00001
1324;Dirigentes de empresas de abastecimento, distribuição e afins;0;0;0;0;1;1;4;0;0;00001
1330;Dirigentes de serviços de tecnologia da informação e comunicações;1;0;0;1;1;3;2;1;0;10011
1341;Dirigentes de serviços de cuidados infantis;0;0;0;0;0;0;5;0;1;00000
1342;Dirigentes de serviços de saúde;1;0;0;1;1;3;2;1;0;10011
1343;Dirigentes de serviços de cuidado a pessoas idosas;0;0;0;0;0;0;5;0;1;00000
1344;Dirigentes de serviços de bem-estar social;1;0;0;1;1;3;2;1;0;10011
1345;Dirigentes de serviços de educação;1;0;0;1;1;3;2;1;0;10011
1346;Gerentes de sucursais de bancos, de serviços financeiros e de seguros;1;0;0;0;1;2;3;0;0;10001
1349;Dirigentes e gerentes de serviços profissionais não classificados anteriormente;1;0;0;1;1;3;2;1;0;10011
