codigo;nome;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;peso_superior;share_ponderado;decisao_ponderada;distancia_limiar;categoria_prioridade
1223;Dirigentes de pesquisa e desenvolvimento;1;0;0;1;1;3;3.5;0.5384615384615384;1;0.25;alta_dirigentes
1330;Dirigentes de serviços de tecnologia da informação e comunicações;1;0;0;1;1;3;3.5;0.5384615384615384;1;0.25;alta_dirigentes
1342;Dirigentes de serviços de saúde;1;0;0;1;1;3;3.5;0.5384615384615384;1;0.25;alta_dirigentes
1344;Dirigentes de serviços de bem-estar social;1;0;0;1;1;3;3.5;0.5384615384615384;1;0.25;alta_dirigentes
1345;Dirigentes de serviços de educação;1;0;0;1;1;3;3.5;0.5384615384615384;1;0.25;alta_dirigentes
1349;Dirigentes e gerentes de serviços profissionais não classificados anteriormente;1;0;0;1;1;3;3.5;0.5384615384615384;1;0.25;alta_dirigentes
2320;Professores de formação profissional;1;0;1;0;1;3;3.5;0.5384615384615384;1;0.25;alta_ambigua
2412;Assessores financeiros e em investimentos;1;1;0;0;1;3;2.5;0.38461538461538464;0;0.75;alta_ambigua
2642;Jornalistas;1;1;0;0;1;3;2.5;0.38461538461538464;0;0.75;alta_ambigua
2413;Analistas financeiros;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2421;Analistas de gestão e administração;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2422;Especialistas em políticas de administração;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2423;Especialistas em políticas e serviços de pessoal e afins;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2424;Especialistas em formação de pessoal;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2431;Profissionais da publicidade e da comercialização;1;1;0;0;0;2;2.0;0.3076923076923077;0;1.25;alta_ambigua
2433;Profissionais de vendas técnicas e médicas (exclusive tic);1;1;0;0;0;2;2.0;0.3076923076923077;0;1.25;alta_ambigua
2434;Profissionais de vendas de tecnologia da informação e comunicações;1;1;0;0;0;2;2.0;0.3076923076923077;0;1.25;alta_ambigua
2511;Analistas de sistemas;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2512;Desenvolvedores de programas e aplicativos (software);1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2513;Desenvolvedores de páginas de internet (web) e multimídia;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2514;Programadores de aplicações;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2519;Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2521;Desenhistas e administradores de bases de dados;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2522;Administradores de sistemas;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2523;Profissionais em rede de computadores;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2529;Especialistas em base de dados e em redes de computadores não classificados anteriormente;1;1;0;1;1;4;4.5;0.6923076923076923;1;1.25;alta_ambigua
2643;Tradutores, intérpretes e linguistas;1;1;0;0;0;2;2.0;0.3076923076923077;0;1.25;alta_ambigua
1112;Dirigentes superiores da administração pública;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1120;Diretores gerais e gerentes gerais;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1211;Dirigentes financeiros;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1212;Dirigentes de recursos humanos;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1213;Dirigentes de políticas e planejamento;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1219;Dirigentes de administração e de serviços não classificados anteriormente;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1221;Dirigentes de vendas e  comercialização;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1222;Dirigentes de publicidade e relações públicas;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
1346;Gerentes de sucursais de bancos, de serviços financeiros e de seguros;1;0;0;0;1;2;1.5;0.23076923076923078;0;1.75;alta_dirigentes
0110;Oficiais das forças armadas;1;0;1;1;1;4;5.5;0.8461538461538461;1;2.25;alta_ambigua
0411;Oficiais de polícia militar;1;0;1;1;1;4;5.5;0.8461538461538461;1;2.25;alta_ambigua
0511;Oficiais de bombeiro militar;1;0;1;1;1;4;5.5;0.8461538461538461;1;2.25;alta_ambigua
1111;Legisladores;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
1114;Dirigentes de organizações que apresentam um interesse especial;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
1311;Dirigentes de produção agropecuária e silvicultura;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
1312;Dirigentes de produção da aquicultura e pesca;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
1321;Dirigentes de indústria de transformação;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
1322;Dirigentes de explorações de mineração;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
1323;Dirigentes de empresas de construção;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
1324;Dirigentes de empresas de abastecimento, distribuição e afins;0;0;0;0;1;1;0.5;0.07692307692307693;0;2.75;alta_dirigentes
2342;Professores do ensino pré-escolar;1;1;1;1;0;4;6.0;0.9230769230769231;1;2.75;alta_ambigua
2359;Profissionais de ensino não classificados anteriormente;1;1;1;1;0;4;6.0;0.9230769230769231;1;2.75;alta_ambigua
2432;Profissionais de relações públicas;1;1;1;1;0;4;6.0;0.9230769230769231;1;2.75;alta_ambigua
2622;Bibliotecários, documentaristas e afins;1;1;1;1;0;4;6.0;0.9230769230769231;1;2.75;alta_ambigua
