codigo;nome
2111;Físicos e astrônomos
2112;Meteorologistas
2113;Químicos
2114;Geólogos e geofísicos
2120;Matemáticos, atuários e estatísticos
2131;Biólogos, botânicos, zoólogos e afins
2132;Agrônomos e afins
2133;Profissionais da proteção do meio ambiente
2141;Engenheiros industriais e de produção
2142;Engenheiros civis
2143;Engenheiros de meio ambiente
2144;Engenheiros mecânicos
2145;Engenheiros químicos
2146;Engenheiros de minas, metalúrgicos e afins
2149;Engenheiros não classificados anteriormente
2151;Engenheiros eletricistas
2152;Engenheiros eletrônicos
2153;Engenheiros em telecomunicações
2161;Arquitetos de edificações
2162;Arquitetos paisagistas
2164;Urbanistas e engenheiros de trânsito
2165;Cartógrafos e agrimensores
2211;Médicos gerais
2212;Médicos especialistas
2221;Profissionais de enfermagem
2222;Profissionais de partos
2250;Veterinários
2261;Dentistas
2262;Farmacêuticos
2263;Profissionais da saúde e da higiene laboral e ambiental
2264;Fisioterapeutas
2265;Dietistas e nutricionistas
2266;Fonoaudiólogos e logopedistas
2267;Optometristas
2269;Profissionais da saúde não classificados anteriormente
2310;Professores de universidades e do ensino superior
2330;Professores do ensino médio
2341;Professores do ensino fundamental
2351;Especialistas em métodos pedagógicos
2352;Educadores para necessidades especiais
2411;Contadores
2611;Advogados e juristas
2612;Juízes
2619;Profissionais em direito não classificados anteriormente
2621;Arquivologistas e curadores de museus
2631;Economistas
2632;Sociólogos, antropólogos e afins
2633;Filósofos, historiadores e especialistas em ciência política
2634;Psicólogos
2635;Assistentes sociais
