codigo;nome;tema_revisao;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;n_modelos_nao_superior;sugestao_por_maioria;nivel_superior_final;observacao_orientador
2412;Assessores financeiros e em investimentos;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;1;3;2;1;;
2413;Analistas financeiros;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;
2421;Analistas de gestão e administração;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;
2422;Especialistas em políticas de administração;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;
2423;Especialistas em políticas e serviços de pessoal e afins;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;
2424;Especialistas em formação de pessoal;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;
2431;Profissionais da publicidade e da comercialização;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;
2432;Profissionais de relações públicas;administracao, financas, comunicacao e vendas tecnicas;1;1;1;1;0;4;1;1;;
2433;Profissionais de vendas técnicas e médicas (exclusive tic);administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;
2434;Profissionais de vendas de tecnologia da informação e comunicações;administracao, financas, comunicacao e vendas tecnicas;1;1;0;0;0;2;3;0;;
3153;Pilotos de aviação e afins;aviacao e trafego aereo;0;0;0;0;1;1;4;0;;
3154;Controladores de tráfego aéreo;aviacao e trafego aereo;0;0;0;0;1;1;4;0;;
2641;Escritores;cultura, comunicacao e linguagens;0;1;0;0;0;1;4;0;;
2642;Jornalistas;cultura, comunicacao e linguagens;1;1;0;0;1;3;2;1;;
2643;Tradutores, intérpretes e linguistas;cultura, comunicacao e linguagens;1;1;0;0;0;2;3;0;;
2163;Desenhistas de produtos e  vestuário;design, arquitetura e desenho;1;0;0;0;0;1;4;0;;
2166;Desenhistas gráficos e de multimídia;design, arquitetura e desenho;1;0;0;0;0;1;4;0;;
1111;Legisladores;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1112;Dirigentes superiores da administração pública;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1114;Dirigentes de organizações que apresentam um interesse especial;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1120;Diretores gerais e gerentes gerais;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1211;Dirigentes financeiros;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1212;Dirigentes de recursos humanos;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1213;Dirigentes de políticas e planejamento;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1219;Dirigentes de administração e de serviços não classificados anteriormente;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1221;Dirigentes de vendas e  comercialização;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1222;Dirigentes de publicidade e relações públicas;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1223;Dirigentes de pesquisa e desenvolvimento;dirigentes e gerentes;1;0;0;1;1;3;2;1;;
1311;Dirigentes de produção agropecuária e silvicultura;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1312;Dirigentes de produção da aquicultura e pesca;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1321;Dirigentes de indústria de transformação;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1322;Dirigentes de explorações de mineração;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1323;Dirigentes de empresas de construção;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1324;Dirigentes de empresas de abastecimento, distribuição e afins;dirigentes e gerentes;0;0;0;0;1;1;4;0;;
1330;Dirigentes de serviços de tecnologia da informação e comunicações;dirigentes e gerentes;1;0;0;1;1;3;2;1;;
1342;Dirigentes de serviços de saúde;dirigentes e gerentes;1;0;0;1;1;3;2;1;;
1344;Dirigentes de serviços de bem-estar social;dirigentes e gerentes;1;0;0;1;1;3;2;1;;
1345;Dirigentes de serviços de educação;dirigentes e gerentes;1;0;0;1;1;3;2;1;;
1346;Gerentes de sucursais de bancos, de serviços financeiros e de seguros;dirigentes e gerentes;1;0;0;0;1;2;3;0;;
1349;Dirigentes e gerentes de serviços profissionais não classificados anteriormente;dirigentes e gerentes;1;0;0;1;1;3;2;1;;
2320;Professores de formação profissional;ensino;1;0;1;0;1;3;2;1;;
2342;Professores do ensino pré-escolar;ensino;1;1;1;1;0;4;1;1;;
2356;Instrutores em tecnologias da informação;ensino;1;0;0;0;0;1;4;0;;
2359;Profissionais de ensino não classificados anteriormente;ensino;1;1;1;1;0;4;1;1;;
0110;Oficiais das forças armadas;oficiais militares/policiais/bombeiros;1;0;1;1;1;4;1;1;;
0411;Oficiais de polícia militar;oficiais militares/policiais/bombeiros;1;0;1;1;1;4;1;1;;
0511;Oficiais de bombeiro militar;oficiais militares/policiais/bombeiros;1;0;1;1;1;4;1;1;;
2622;Bibliotecários, documentaristas e afins;outros casos ambiguos;1;1;1;1;0;4;1;1;;
2230;Profissionais da medicina tradicional e alternativa;saude;0;1;0;0;1;2;3;0;;
2240;Paramédicos;saude;0;1;0;0;0;1;4;0;;
2511;Analistas de sistemas;tecnologia da informacao;1;1;0;1;1;4;1;1;;
2512;Desenvolvedores de programas e aplicativos (software);tecnologia da informacao;1;1;0;1;1;4;1;1;;
2513;Desenvolvedores de páginas de internet (web) e multimídia;tecnologia da informacao;1;1;0;1;1;4;1;1;;
2514;Programadores de aplicações;tecnologia da informacao;1;1;0;1;1;4;1;1;;
2519;Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente;tecnologia da informacao;1;1;0;1;1;4;1;1;;
2521;Desenhistas e administradores de bases de dados;tecnologia da informacao;1;1;0;1;1;4;1;1;;
2522;Administradores de sistemas;tecnologia da informacao;1;1;0;1;1;4;1;1;;
2523;Profissionais em rede de computadores;tecnologia da informacao;1;1;0;1;1;4;1;1;;
2529;Especialistas em base de dados e em redes de computadores não classificados anteriormente;tecnologia da informacao;1;1;0;1;1;4;1;1;;
