"Ano","Trimestre","periodo","nivel_instrucao","peso","total_ponderado","percentual"
2012,1,"2012-T1","Fundamental incompleto ou equivalente",74763271.9624194,182011926.000022,41.076
2012,1,"2012-T1","Medio completo ou equivalente",38453003.3971974,182011926.000022,21.1266
2012,1,"2012-T1","Fundamental completo ou equivalente",17875509.4516585,182011926.000022,9.8211
2012,1,"2012-T1","Sem instrucao e menos de 1 ano de estudo",16585137.6267498,182011926.000022,9.1121
2012,1,"2012-T1","Superior completo",15515687.2648673,182011926.000022,8.5245
2012,1,"2012-T1","Medio incompleto ou equivalente",12058773.4114394,182011926.000022,6.6253
2012,1,"2012-T1","Superior incompleto ou equivalente",6760542.88569016,182011926.000022,3.7143
2012,2,"2012-T2","Fundamental incompleto ou equivalente",75053979.877149,182435481.000004,41.14
2012,2,"2012-T2","Medio completo ou equivalente",38593951.408379,182435481.000004,21.1548
2012,2,"2012-T2","Fundamental completo ou equivalente",17813827.0628963,182435481.000004,9.7645
2012,2,"2012-T2","Sem instrucao e menos de 1 ano de estudo",16608082.1718867,182435481.000004,9.1035
2012,2,"2012-T2","Superior completo",15593898.1163427,182435481.000004,8.5476
2012,2,"2012-T2","Medio incompleto ou equivalente",12076082.0116971,182435481.000004,6.6194
2012,2,"2012-T2","Superior incompleto ou equivalente",6695660.3516535,182435481.000004,3.6702
2012,3,"2012-T3","Fundamental incompleto ou equivalente",75173911.6896232,182861463,41.1098
2012,3,"2012-T3","Medio completo ou equivalente",38672569.1986358,182861463,21.1486
2012,3,"2012-T3","Fundamental completo ou equivalente",17756348.4327666,182861463,9.7103
2012,3,"2012-T3","Sem instrucao e menos de 1 ano de estudo",16851900.9616037,182861463,9.2157
2012,3,"2012-T3","Superior completo",15790957.7529118,182861463,8.6355
2012,3,"2012-T3","Medio incompleto ou equivalente",11829398.9155565,182861463,6.469
2012,3,"2012-T3","Superior incompleto ou equivalente",6786376.04890242,182861463,3.7112
2012,4,"2012-T4","Fundamental incompleto ou equivalente",75192620.7538965,183280442.000003,41.026
2012,4,"2012-T4","Medio completo ou equivalente",39114251.942536,183280442.000003,21.3412
2012,4,"2012-T4","Fundamental completo ou equivalente",17601816.1627404,183280442.000003,9.6038
2012,4,"2012-T4","Sem instrucao e menos de 1 ano de estudo",17026999.0453073,183280442.000003,9.2901
2012,4,"2012-T4","Superior completo",16072295.6284475,183280442.000003,8.7692
2012,4,"2012-T4","Medio incompleto ou equivalente",11624137.0991277,183280442.000003,6.3423
2012,4,"2012-T4","Superior incompleto ou equivalente",6648321.36794747,183280442.000003,3.6274
2013,1,"2013-T1","Fundamental incompleto ou equivalente",74366599.221495,183695142.000007,40.4837
2013,1,"2013-T1","Medio completo ou equivalente",40500126.9855893,183695142.000007,22.0475
2013,1,"2013-T1","Fundamental completo ou equivalente",17998156.5336381,183695142.000007,9.7978
2013,1,"2013-T1","Superior completo",16328824.0773698,183695142.000007,8.8891
2013,1,"2013-T1","Sem instrucao e menos de 1 ano de estudo",15621286.6086128,183695142.000007,8.5039
2013,1,"2013-T1","Medio incompleto ou equivalente",11885648.4300166,183695142.000007,6.4703
2013,1,"2013-T1","Superior incompleto ou equivalente",6994500.1432852,183695142.000007,3.8077
2013,2,"2013-T2","Fundamental incompleto ou equivalente",74113682.9130069,184092426.000003,40.259
2013,2,"2013-T2","Medio completo ou equivalente",40419664.1480983,184092426.000003,21.9562
2013,2,"2013-T2","Fundamental completo ou equivalente",17930424.6246611,184092426.000003,9.7399
