"Ano","Trimestre","periodo","raca_cor","nivel_instrucao","peso","total_ponderado","percentual"
2012,1,"2012-T1","Amarela","Medio completo ou equivalente",254934.5163762,972894.30521247,26.2037
2012,1,"2012-T1","Amarela","Superior completo",236161.16769423,972894.30521247,24.2741
2012,1,"2012-T1","Amarela","Fundamental incompleto ou equivalente",235646.04293507,972894.30521247,24.2211
2012,1,"2012-T1","Amarela","Fundamental completo ou equivalente",92300.70063101,972894.30521247,9.4872
2012,1,"2012-T1","Amarela","Superior incompleto ou equivalente",53570.31573806,972894.30521247,5.5063
2012,1,"2012-T1","Amarela","Sem instrucao e menos de 1 ano de estudo",51050.13436553,972894.30521247,5.2472
2012,1,"2012-T1","Amarela","Medio incompleto ou equivalente",49231.42747237,972894.30521247,5.0603
2012,1,"2012-T1","Branca","Fundamental incompleto ou equivalente",31109135.1172952,85183931.8491846,36.52
2012,1,"2012-T1","Branca","Medio completo ou equivalente",19239691.7286418,85183931.8491846,22.5861
2012,1,"2012-T1","Branca","Superior completo",11182447.4175817,85183931.8491846,13.1274
2012,1,"2012-T1","Branca","Fundamental completo ou equivalente",8125532.11147092,85183931.8491846,9.5388
2012,1,"2012-T1","Branca","Sem instrucao e menos de 1 ano de estudo",5947646.68041502,85183931.8491846,6.9821
2012,1,"2012-T1","Branca","Medio incompleto ou equivalente",5320659.82608302,85183931.8491846,6.2461
2012,1,"2012-T1","Branca","Superior incompleto ou equivalente",4258818.96769693,85183931.8491846,4.9996
2012,1,"2012-T1","Indigena","Fundamental incompleto ou equivalente",189909.77493994,448781.98737715,42.3167
2012,1,"2012-T1","Indigena","Medio completo ou equivalente",85280.77132628,448781.98737715,19.0027
2012,1,"2012-T1","Indigena","Sem instrucao e menos de 1 ano de estudo",60295.53039366,448781.98737715,13.4354
2012,1,"2012-T1","Indigena","Fundamental completo ou equivalente",45890.07833365,448781.98737715,10.2255
2012,1,"2012-T1","Indigena","Medio incompleto ou equivalente",28988.21371436,448781.98737715,6.4593
2012,1,"2012-T1","Indigena","Superior completo",25875.74221731,448781.98737715,5.7658
2012,1,"2012-T1","Indigena","Superior incompleto ou equivalente",12541.87645195,448781.98737715,2.7946
2012,1,"2012-T1","Parda","Fundamental incompleto ou equivalente",37021454.8351706,81251387.8223586,45.5641
2012,1,"2012-T1","Parda","Medio completo ou equivalente",15813797.2484652,81251387.8223586,19.4628
2012,1,"2012-T1","Parda","Sem instrucao e menos de 1 ano de estudo",9030722.8271896,81251387.8223586,11.1145
2012,1,"2012-T1","Parda","Fundamental completo ou equivalente",8167664.8250136,81251387.8223586,10.0523
2012,1,"2012-T1","Parda","Medio incompleto ou equivalente",5707818.29683167,81251387.8223586,7.0249
2012,1,"2012-T1","Parda","Superior completo",3435157.25812254,81251387.8223586,4.2278
2012,1,"2012-T1","Parda","Superior incompleto ou equivalente",2074772.53156528,81251387.8223586,2.5535
2012,1,"2012-T1","Preta","Fundamental incompleto ou equivalente",6207126.19207857,14154930.0358893,43.8513
2012,1,"2012-T1","Preta","Medio completo ou equivalente",3059299.1323879,14154930.0358893,21.613
2012,1,"2012-T1","Preta","Sem instrucao e menos de 1 ano de estudo",1495422.45438602,14154930.0358893,10.5647
2012,1,"2012-T1","Preta","Fundamental completo ou equivalente",1444121.73620935,14154930.0358893,10.2023
2012,1,"2012-T1","Preta","Medio incompleto ou equivalente",952075.64733799,14154930.0358893,6.7261
2012,1,"2012-T1","Preta","Superior completo",636045.67925152,14154930.0358893,4.4935
2012,1,"2012-T1","Preta","Superior incompleto ou equivalente",360839.19423794,14154930.0358893,2.5492
2012,2,"2012-T2","Amarela","Superior completo",232898.19371553,867052.21422181,26.8609
2012,2,"2012-T2","Amarela","Fundamental incompleto ou equivalente",210382.78341813,867052.21422181,24.2641
2012,2,"2012-T2","Amarela","Medio completo ou equivalente",209050.52302356,867052.21422181,24.1105
2012,2,"2012-T2","Amarela","Fundamental completo ou equivalente",69568.5885403,867052.21422181,8.0236
2012,2,"2012-T2","Amarela","Superior incompleto ou equivalente",64412.54962247,867052.21422181,7.4289
