"Ano","Trimestre","periodo","regiao","nivel_instrucao","peso","total_ponderado","percentual"
2012,1,"2012-T1","Centro-Oeste","Fundamental incompleto ou equivalente",5307715.1515147,13463537.0495027,39.4229
2012,1,"2012-T1","Centro-Oeste","Medio completo ou equivalente",2766707.01707584,13463537.0495027,20.5496
2012,1,"2012-T1","Centro-Oeste","Superior completo",1359288.54141927,13463537.0495027,10.0961
2012,1,"2012-T1","Centro-Oeste","Fundamental completo ou equivalente",1279814.97866623,13463537.0495027,9.5058
2012,1,"2012-T1","Centro-Oeste","Sem instrucao e menos de 1 ano de estudo",1162947.15128367,13463537.0495027,8.6378
2012,1,"2012-T1","Centro-Oeste","Medio incompleto ou equivalente",957439.4321783,13463537.0495027,7.1114
2012,1,"2012-T1","Centro-Oeste","Superior incompleto ou equivalente",629624.77736466,13463537.0495027,4.6765
2012,1,"2012-T1","Nordeste","Fundamental incompleto ou equivalente",22407429.7371042,49615804.2636433,45.1619
2012,1,"2012-T1","Nordeste","Medio completo ou equivalente",9142188.33159047,49615804.2636433,18.426
2012,1,"2012-T1","Nordeste","Sem instrucao e menos de 1 ano de estudo",7036622.80548979,49615804.2636433,14.1822
2012,1,"2012-T1","Nordeste","Fundamental completo ou equivalente",4014814.12819982,49615804.2636433,8.0918
2012,1,"2012-T1","Nordeste","Medio incompleto ou equivalente",3156388.53575577,49615804.2636433,6.3617
2012,1,"2012-T1","Nordeste","Superior completo",2558174.49984548,49615804.2636433,5.156
2012,1,"2012-T1","Nordeste","Superior incompleto ou equivalente",1300186.22565775,49615804.2636433,2.6205
2012,1,"2012-T1","Norte","Fundamental incompleto ou equivalente",6724412.17032733,14641448.3908611,45.9272
2012,1,"2012-T1","Norte","Medio completo ou equivalente",2736774.46424547,14641448.3908611,18.692
2012,1,"2012-T1","Norte","Sem instrucao e menos de 1 ano de estudo",1641517.12378132,14641448.3908611,11.2114
2012,1,"2012-T1","Norte","Fundamental completo ou equivalente",1322995.42824705,14641448.3908611,9.036
2012,1,"2012-T1","Norte","Medio incompleto ou equivalente",1031206.40581623,14641448.3908611,7.0431
2012,1,"2012-T1","Norte","Superior completo",745389.8459042,14641448.3908611,5.091
2012,1,"2012-T1","Norte","Superior incompleto ou equivalente",439152.9525395,14641448.3908611,2.9994
2012,1,"2012-T1","Sudeste","Fundamental incompleto ou equivalente",29171265.1516041,77989617.714587,37.404
2012,1,"2012-T1","Sudeste","Medio completo ou equivalente",18522016.8572966,77989617.714587,23.7493
2012,1,"2012-T1","Sudeste","Superior completo",8411527.80015571,77989617.714587,10.7854
2012,1,"2012-T1","Sudeste","Fundamental completo ou equivalente",8341989.41712663,77989617.714587,10.6963
2012,1,"2012-T1","Sudeste","Medio incompleto ou equivalente",5200198.72789545,77989617.714587,6.6678
2012,1,"2012-T1","Sudeste","Sem instrucao e menos de 1 ano de estudo",5196013.63887502,77989617.714587,6.6624
2012,1,"2012-T1","Sudeste","Superior incompleto ou equivalente",3146606.12163352,77989617.714587,4.0346
2012,1,"2012-T1","Sul","Fundamental incompleto ou equivalente",11152449.7518691,26301518.581428,42.4023
