"Ano","Trimestre","periodo","sexo","nivel_instrucao","peso","total_ponderado","percentual"
2012,1,"2012-T1","Homem","Fundamental incompleto ou equivalente",38062756.3890112,88662849.0000135,42.9298
2012,1,"2012-T1","Homem","Medio completo ou equivalente",17899917.4012389,88662849.0000135,20.1887
2012,1,"2012-T1","Homem","Fundamental completo ou equivalente",9048512.63285134,88662849.0000135,10.2055
2012,1,"2012-T1","Homem","Sem instrucao e menos de 1 ano de estudo",8224175.5035679,88662849.0000135,9.2758
2012,1,"2012-T1","Homem","Superior completo",6466964.37629652,88662849.0000135,7.2939
2012,1,"2012-T1","Homem","Medio incompleto ou equivalente",5761648.22747334,88662849.0000135,6.4984
2012,1,"2012-T1","Homem","Superior incompleto ou equivalente",3198874.46957429,88662849.0000135,3.6079
2012,1,"2012-T1","Mulher","Fundamental incompleto ou equivalente",36700515.5734082,93349077.0000086,39.3153
2012,1,"2012-T1","Mulher","Medio completo ou equivalente",20553085.9959585,93349077.0000086,22.0174
2012,1,"2012-T1","Mulher","Superior completo",9048722.88857081,93349077.0000086,9.6934
2012,1,"2012-T1","Mulher","Fundamental completo ou equivalente",8826996.81880719,93349077.0000086,9.4559
2012,1,"2012-T1","Mulher","Sem instrucao e menos de 1 ano de estudo",8360962.12318193,93349077.0000086,8.9567
2012,1,"2012-T1","Mulher","Medio incompleto ou equivalente",6297125.18396607,93349077.0000086,6.7458
2012,1,"2012-T1","Mulher","Superior incompleto ou equivalente",3561668.41611587,93349077.0000086,3.8154
2012,2,"2012-T2","Homem","Fundamental incompleto ou equivalente",38181722.7662304,88865494.0000021,42.9657
2012,2,"2012-T2","Homem","Medio completo ou equivalente",18029102.5578724,88865494.0000021,20.2881
2012,2,"2012-T2","Homem","Fundamental completo ou equivalente",8934107.84119286,88865494.0000021,10.0535
2012,2,"2012-T2","Homem","Sem instrucao e menos de 1 ano de estudo",8228179.44683605,88865494.0000021,9.2591
2012,2,"2012-T2","Homem","Superior completo",6463366.37165273,88865494.0000021,7.2732
2012,2,"2012-T2","Homem","Medio incompleto ou equivalente",5865930.47536656,88865494.0000021,6.6009
2012,2,"2012-T2","Homem","Superior incompleto ou equivalente",3163084.54085111,88865494.0000021,3.5594
2012,2,"2012-T2","Mulher","Fundamental incompleto ou equivalente",36872257.1109186,93569987.0000024,39.4061
2012,2,"2012-T2","Mulher","Medio completo ou equivalente",20564848.8505066,93569987.0000024,21.978
2012,2,"2012-T2","Mulher","Superior completo",9130531.74469,93569987.0000024,9.758
2012,2,"2012-T2","Mulher","Fundamental completo ou equivalente",8879719.22170347,93569987.0000024,9.4899
2012,2,"2012-T2","Mulher","Sem instrucao e menos de 1 ano de estudo",8379902.7250507,93569987.0000024,8.9558
2012,2,"2012-T2","Mulher","Medio incompleto ou equivalente",6210151.53633058,93569987.0000024,6.6369
2012,2,"2012-T2","Mulher","Superior incompleto ou equivalente",3532575.81080239,93569987.0000024,3.7753
2012,3,"2012-T3","Homem","Fundamental incompleto ou equivalente",38269660.6000847,89069925.0000013,42.9659
2012,3,"2012-T3","Homem","Medio completo ou equivalente",18084792.997767,89069925.0000013,20.304
2012,3,"2012-T3","Homem","Fundamental completo ou equivalente",8972262.29831178,89069925.0000013,10.0733
2012,3,"2012-T3","Homem","Sem instrucao e menos de 1 ano de estudo",8284752.61105094,89069925.0000013,9.3014
2012,3,"2012-T3","Homem","Superior completo",6537319.35675585,89069925.0000013,7.3395
2012,3,"2012-T3","Homem","Medio incompleto ou equivalente",5744387.83230841,89069925.0000013,6.4493
2012,3,"2012-T3","Homem","Superior incompleto ou equivalente",3176749.30372265,89069925.0000013,3.5666
2012,3,"2012-T3","Mulher","Fundamental incompleto ou equivalente",36904251.0895385,93791537.9999988,39.3471
2012,3,"2012-T3","Mulher","Medio completo ou equivalente",20587776.2008689,93791537.9999988,21.9506
