"Ano","Trimestre","periodo","unidade_da_federacao","nivel_instrucao","peso","total_ponderado","percentual"
2012,1,"2012-T1","AC","Fundamental incompleto ou equivalente",293282.926334,693362.00754204,42.2987
2012,1,"2012-T1","AC","Medio completo ou equivalente",120758.12080443,693362.00754204,17.4163
2012,1,"2012-T1","AC","Sem instrucao e menos de 1 ano de estudo",102080.80156512,693362.00754204,14.7226
2012,1,"2012-T1","AC","Fundamental completo ou equivalente",71619.76536125,693362.00754204,10.3293
2012,1,"2012-T1","AC","Superior completo",44160.73582238,693362.00754204,6.3691
2012,1,"2012-T1","AC","Medio incompleto ou equivalente",40180.30737747,693362.00754204,5.795
2012,1,"2012-T1","AC","Superior incompleto ou equivalente",21279.35027739,693362.00754204,3.069
2012,1,"2012-T1","AL","Fundamental incompleto ou equivalente",1369541.94586416,2879518.31535356,47.5615
2012,1,"2012-T1","AL","Sem instrucao e menos de 1 ano de estudo",480784.09010914,2879518.31535356,16.6967
2012,1,"2012-T1","AL","Medio completo ou equivalente",432244.37256525,2879518.31535356,15.011
2012,1,"2012-T1","AL","Fundamental completo ou equivalente",239181.13758816,2879518.31535356,8.3063
2012,1,"2012-T1","AL","Medio incompleto ou equivalente",168497.57198042,2879518.31535356,5.8516
2012,1,"2012-T1","AL","Superior completo",114502.2983873,2879518.31535356,3.9764
2012,1,"2012-T1","AL","Superior incompleto ou equivalente",74766.89885913,2879518.31535356,2.5965
2012,1,"2012-T1","AM","Fundamental incompleto ou equivalente",1359708.69105371,3144270.44707907,43.244
2012,1,"2012-T1","AM","Medio completo ou equivalente",688192.10840673,3144270.44707907,21.8872
2012,1,"2012-T1","AM","Sem instrucao e menos de 1 ano de estudo",342760.17219792,3144270.44707907,10.9011
2012,1,"2012-T1","AM","Fundamental completo ou equivalente",246908.29321705,3144270.44707907,7.8526
2012,1,"2012-T1","AM","Medio incompleto ou equivalente",217971.60754672,3144270.44707907,6.9323
2012,1,"2012-T1","AM","Superior completo",168148.54839298,3144270.44707907,5.3478
2012,1,"2012-T1","AM","Superior incompleto ou equivalente",120581.02626396,3144270.44707907,3.8349
2012,1,"2012-T1","AP","Fundamental incompleto ou equivalente",270469.81833666,628613.03947103,43.0264
2012,1,"2012-T1","AP","Medio completo ou equivalente",129097.72337121,628613.03947103,20.5369
2012,1,"2012-T1","AP","Sem instrucao e menos de 1 ano de estudo",61565.45067062,628613.03947103,9.7939
2012,1,"2012-T1","AP","Fundamental completo ou equivalente",53709.19121551,628613.03947103,8.5441
2012,1,"2012-T1","AP","Medio incompleto ou equivalente",46487.26263721,628613.03947103,7.3952
2012,1,"2012-T1","AP","Superior completo",38360.47925718,628613.03947103,6.1024
2012,1,"2012-T1","AP","Superior incompleto ou equivalente",28923.11398264,628613.03947103,4.6011
2012,1,"2012-T1","BA","Fundamental incompleto ou equivalente",5968037.41632743,13113801.8841742,45.5096
2012,1,"2012-T1","BA","Medio completo ou equivalente",2622157.39280626,13113801.8841742,19.9954
2012,1,"2012-T1","BA","Sem instrucao e menos de 1 ano de estudo",1813998.05719392,13113801.8841742,13.8327
2012,1,"2012-T1","BA","Fundamental completo ou equivalente",912159.02097523,13113801.8841742,6.9557
2012,1,"2012-T1","BA","Medio incompleto ou equivalente",862570.31346062,13113801.8841742,6.5776
2012,1,"2012-T1","BA","Superior completo",628180.17294367,13113801.8841742,4.7902
2012,1,"2012-T1","BA","Superior incompleto ou equivalente",306699.51046704,13113801.8841742,2.3388
2012,1,"2012-T1","CE","Fundamental incompleto ou equivalente",3395357.76480963,7964358.75541466,42.6319
2012,1,"2012-T1","CE","Medio completo ou equivalente",1493138.20404061,7964358.75541466,18.7478
2012,1,"2012-T1","CE","Sem instrucao e menos de 1 ano de estudo",1124139.51671103,7964358.75541466,14.1146
2012,1,"2012-T1","CE","Fundamental completo ou equivalente",776611.49937952,7964358.75541466,9.7511
2012,1,"2012-T1","CE","Medio incompleto ou equivalente",561869.64906728,7964358.75541466,7.0548
2012,1,"2012-T1","CE","Superior completo",402179.96348731,7964358.75541466,5.0497
2012,1,"2012-T1","CE","Superior incompleto ou equivalente",211062.15791928,7964358.75541466,2.6501
2012,1,"2012-T1","DF","Fundamental incompleto ou equivalente",760947.15465527,2499787.30432381,30.4405
2012,1,"2012-T1","DF","Medio completo ou equivalente",571839.83280454,2499787.30432381,22.8755
2012,1,"2012-T1","DF","Superior completo",480685.1752581,2499787.30432381,19.229
2012,1,"2012-T1","DF","Fundamental completo ou equivalente",195141.54708194,2499787.30432381,7.8063
2012,1,"2012-T1","DF","Superior incompleto ou equivalente",173461.57764241,2499787.30432381,6.9391
2012,1,"2012-T1","DF","Medio incompleto ou equivalente",161955.78653352,2499787.30432381,6.4788
2012,1,"2012-T1","DF","Sem instrucao e menos de 1 ano de estudo",155756.23034803,2499787.30432381,6.2308
2012,1,"2012-T1","ES","Fundamental incompleto ou equivalente",1392399.83224525,3439134.98571541,40.4869
2012,1,"2012-T1","ES","Medio completo ou equivalente",767587.72058286,3439134.98571541,22.3192
2012,1,"2012-T1","ES","Fundamental completo ou equivalente",372639.6324154,3439134.98571541,10.8353
2012,1,"2012-T1","ES","Sem instrucao e menos de 1 ano de estudo",299819.75730544,3439134.98571541,8.7179
2012,1,"2012-T1","ES","Superior completo",288189.58013475,3439134.98571541,8.3797
2012,1,"2012-T1","ES","Medio incompleto ou equivalente",201997.34280488,3439134.98571541,5.8735
2012,1,"2012-T1","ES","Superior incompleto ou equivalente",116501.12022683,3439134.98571541,3.3875
2012,1,"2012-T1","GO","Fundamental incompleto ou equivalente",2424382.75367755,5843734.65823883,41.4869
2012,1,"2012-T1","GO","Medio completo ou equivalente",1219870.36841749,5843734.65823883,20.8748
2012,1,"2012-T1","GO","Fundamental completo ou equivalente",556295.64130113,5843734.65823883,9.5195
2012,1,"2012-T1","GO","Sem instrucao e menos de 1 ano de estudo",522343.24682185,5843734.65823883,8.9385
2012,1,"2012-T1","GO","Superior completo",445851.3558343,5843734.65823883,7.6296
