"script","inicio","fim","duracao_segundos","status","mensagem"
"processa_percentual_sobreeducados_por_uf.R","2026-07-02 21:22:54 -0300","2026-07-02 21:28:08 -0300",314.554,"OK",""
"processa_percentual_sobreeducados_por_regiao.R","2026-07-02 21:28:08 -0300","2026-07-02 21:28:17 -0300",8.543,"OK",""
"processa_percentual_sobreeducados_por_raca_cor.R","2026-07-02 21:28:17 -0300","2026-07-02 21:28:25 -0300",8.442,"OK",""
"processa_percentual_sobreeducados_por_sexo.R","2026-07-02 21:28:25 -0300","2026-07-02 21:28:34 -0300",8.745,"OK",""
"processa_percentual_sobreeducados_por_ocupacao_ano_trimestre.R","2026-07-02 21:28:34 -0300","2026-07-02 21:28:45 -0300",10.441,"OK",""
"processa_ultimo_periodo_percentual_sobreeducados_por_ocupacao_e_remuneracao.R","2026-07-02 21:28:45 -0300","2026-07-02 21:28:53 -0300",8.69,"OK",""
"processa_ultimo_periodo_remuneracao_media_por_nivel_instrucao.R","2026-07-02 21:28:53 -0300","2026-07-02 21:29:01 -0300",8.234,"OK",""
"processa_ultimo_periodo_remuneracao_media_por_uf.R","2026-07-02 21:29:01 -0300","2026-07-02 21:29:10 -0300",8.322,"OK",""
"processa_ultimo_periodo_remuneracao_media_por_regiao.R","2026-07-02 21:29:10 -0300","2026-07-02 21:29:18 -0300",8.285,"OK",""
"processa_ultimo_periodo_remuneracao_media_por_raca_cor.R","2026-07-02 21:29:18 -0300","2026-07-02 21:29:26 -0300",8.136,"OK",""
"processa_ultimo_periodo_remuneracao_media_por_sexo.R","2026-07-02 21:29:26 -0300","2026-07-02 21:29:34 -0300",8.097,"OK",""
"processa_ultimo_periodo_remuneracao_media_sobreeducados_nao_sobreeducados_e_superior.R","2026-07-02 21:29:34 -0300","2026-07-02 21:29:42 -0300",8.057,"OK",""
"processa_ultimo_periodo_comparacao_salarial_sobreeducados_vs_niveis_instrucao.R","2026-07-02 21:29:42 -0300","2026-07-02 21:29:52 -0300",9.702,"OK",""
"processa_serie_comparacao_salarial_sobreeducados_vs_niveis_instrucao.R","2026-07-02 21:29:52 -0300","2026-07-02 21:30:15 -0300",22.689,"OK",""
"processa_ultimo_periodo_remuneracao_media_por_tipo_ocupacao_classificada.R","2026-07-02 21:30:15 -0300","2026-07-02 21:30:28 -0300",12.853,"OK",""
