"Ano","Trimestre","periodo","numero_sobreeducados_ponderado","total_superior_completo_ocupacao_classificada_ponderado","percentual_sobreeducados_entre_superior_completo","registros_superior_completo_total","registros_superior_completo_com_ocupacao_informada","registros_superior_completo_ocupacao_classificada","registros_superior_completo_sobreeducados","registros_superior_completo_excluidos_sem_ocupacao","registros_superior_completo_excluidos_ocupacao_ambigua","registros_superior_completo_excluidos_ocupacao_sem_classificacao","registros_superior_completo_excluidos_peso_invalido"
2012,4,"2012-T4",3964726.30059182,7746112.38632601,51.1834,36074,28992,17312,9040,7082,11404,276,0
2013,4,"2013-T4",4015353.41603817,8057848.61170812,49.8316,38542,30982,18646,9468,7560,12103,233,0
2014,4,"2014-T4",4419489.50291715,8630778.76009221,51.2061,41905,33470,20009,10340,8435,13452,9,0
2015,4,"2015-T4",5036724.31971809,9433311.12845675,53.393,44163,34828,21235,11456,9335,13591,2,0
2016,4,"2016-T4",5480584.22821005,10083823.8008005,54.3503,46958,36626,22948,12661,10332,13676,2,0
2017,4,"2017-T4",5987911.85438439,10700371.549392,55.9598,50124,38719,24968,14097,11405,13747,4,0
2018,4,"2018-T4",6613812.35215985,11896933.8544827,55.5926,53317,41061,26791,15243,12256,14258,12,0
2019,4,"2019-T4",7064669.34677607,12279816.0708249,57.5307,54520,41960,27207,15844,12560,14750,3,0
2020,4,"2020-T4",7865845.30373532,13431223.165732,58.5639,38479,27778,18413,10814,10701,9351,14,0
2021,4,"2021-T4",8047385.15171079,13653718.361107,58.9391,48665,36569,24595,14746,12096,11971,3,0
2022,4,"2022-T4",8600412.76238568,14712419.86243,58.4568,53915,41354,28072,16640,12561,13280,2,0
2023,4,"2023-T4",8910017.09648961,15316146.6198113,58.174,55462,42820,28725,16971,12642,14086,9,0
2024,4,"2024-T4",9514511.90631895,16160336.9299316,58.8757,57840,45023,30240,17938,12817,14782,1,0
2025,4,"2025-T4",9824366.34822053,17037896.2867531,57.6619,66086,51580,34586,20062,14506,16984,10,0
