"Ano","Trimestre","periodo","raca_cor","peso_ponderado_superior_completo","total_ponderado_superior_completo_periodo","percentual"
2012,1,"2012-T1","Branca",11182447.4175817,15515687.2648673,72.0719
2012,1,"2012-T1","Parda",3435157.25812254,15515687.2648673,22.1399
2012,1,"2012-T1","Preta",636045.67925152,15515687.2648673,4.0994
2012,1,"2012-T1","Amarela",236161.16769423,15515687.2648673,1.5221
2012,1,"2012-T1","Indigena",25875.74221731,15515687.2648673,0.1668
2012,2,"2012-T2","Branca",11264874.236486,15593898.1163427,72.239
2012,2,"2012-T2","Parda",3502505.73334464,15593898.1163427,22.4607
2012,2,"2012-T2","Preta",576957.16782764,15593898.1163427,3.6999
2012,2,"2012-T2","Amarela",232898.19371553,15593898.1163427,1.4935
2012,2,"2012-T2","Indigena",16662.78496892,15593898.1163427,0.1069
2012,3,"2012-T3","Branca",11335898.4774587,15790957.7529118,71.7873
2012,3,"2012-T3","Parda",3616865.30873952,15790957.7529118,22.9047
2012,3,"2012-T3","Preta",588843.24452754,15790957.7529118,3.729
2012,3,"2012-T3","Amarela",234516.92450581,15790957.7529118,1.4851
2012,3,"2012-T3","Indigena",14833.79768024,15790957.7529118,0.0939
2012,4,"2012-T4","Branca",11557749.9604592,16072295.6284475,71.911
2012,4,"2012-T4","Parda",3671578.28491684,16072295.6284475,22.8441
2012,4,"2012-T4","Preta",606978.01922347,16072295.6284475,3.7765
2012,4,"2012-T4","Amarela",222072.79197651,16072295.6284475,1.3817
2012,4,"2012-T4","Indigena",13916.57187148,16072295.6284475,0.0866
2013,1,"2013-T1","Branca",11637377.5741285,16328824.0773698,71.2689
2013,1,"2013-T1","Parda",3824701.52921673,16328824.0773698,23.423
2013,1,"2013-T1","Preta",600563.57348383,16328824.0773698,3.6779
2013,1,"2013-T1","Amarela",251026.23988776,16328824.0773698,1.5373
2013,1,"2013-T1","Indigena",15155.16065298,16328824.0773698,0.0928
2013,2,"2013-T2","Branca",11609965.6932059,16434817.9943814,70.6425
2013,2,"2013-T2","Parda",3889822.91564695,16434817.9943814,23.6682
2013,2,"2013-T2","Preta",643747.72092676,16434817.9943814,3.917
2013,2,"2013-T2","Amarela",272304.43881045,16434817.9943814,1.6569
2013,2,"2013-T2","Indigena",18977.22579137,16434817.9943814,0.1155
2013,3,"2013-T3","Branca",11799084.0944365,16523102.738106,71.4096
2013,3,"2013-T3","Parda",3759958.69301593,16523102.738106,22.7558
