"Ano","Trimestre","periodo","regiao","peso_ponderado_superior_completo","total_ponderado_superior_completo_periodo","percentual"
2012,1,"2012-T1","Sudeste",8411527.80015571,15515687.2648673,54.2131
2012,1,"2012-T1","Nordeste",2558174.49984548,15515687.2648673,16.4877
2012,1,"2012-T1","Sul",2441306.57754267,15515687.2648673,15.7344
2012,1,"2012-T1","Centro-Oeste",1359288.54141927,15515687.2648673,8.7607
2012,1,"2012-T1","Norte",745389.8459042,15515687.2648673,4.8041
2012,2,"2012-T2","Sudeste",8583571.90085716,15593898.1163427,55.0444
2012,2,"2012-T2","Nordeste",2484818.8094178,15593898.1163427,15.9346
2012,2,"2012-T2","Sul",2452718.95498653,15593898.1163427,15.7287
2012,2,"2012-T2","Centro-Oeste",1337071.67039783,15593898.1163427,8.5743
2012,2,"2012-T2","Norte",735716.78068341,15593898.1163427,4.718
2012,3,"2012-T3","Sudeste",8619677.26193315,15790957.7529118,54.5862
2012,3,"2012-T3","Nordeste",2570842.21933464,15790957.7529118,16.2805
2012,3,"2012-T3","Sul",2507670.7951199,15790957.7529118,15.8804
2012,3,"2012-T3","Centro-Oeste",1362674.21536856,15790957.7529118,8.6295
2012,3,"2012-T3","Norte",730093.26115556,15790957.7529118,4.6235
2012,4,"2012-T4","Sudeste",8832511.56473814,16072295.6284475,54.9549
2012,4,"2012-T4","Nordeste",2554023.46301169,16072295.6284475,15.8908
2012,4,"2012-T4","Sul",2535164.32180787,16072295.6284475,15.7735
2012,4,"2012-T4","Centro-Oeste",1391808.4756966,16072295.6284475,8.6597
2012,4,"2012-T4","Norte",758787.80319322,16072295.6284475,4.7211
2013,1,"2013-T1","Sudeste",8948371.54548944,16328824.0773698,54.8011
2013,1,"2013-T1","Sul",2616676.26644229,16328824.0773698,16.0249
2013,1,"2013-T1","Nordeste",2568412.4252757,16328824.0773698,15.7293
2013,1,"2013-T1","Centro-Oeste",1403280.43706326,16328824.0773698,8.5939
2013,1,"2013-T1","Norte",792083.4030991,16328824.0773698,4.8508
2013,2,"2013-T2","Sudeste",8928720.30802498,16434817.9943814,54.3281
2013,2,"2013-T2","Sul",2644351.05132808,16434817.9943814,16.0899
2013,2,"2013-T2","Nordeste",2631592.60067209,16434817.9943814,16.0123
2013,2,"2013-T2","Centro-Oeste",1410520.85955896,16434817.9943814,8.5825
2013,2,"2013-T2","Norte",819633.17479729,16434817.9943814,4.9872
2013,3,"2013-T3","Sudeste",8919019.6040732,16523102.738106,53.9791
2013,3,"2013-T3","Sul",2740675.65543331,16523102.738106,16.5869
2013,3,"2013-T3","Nordeste",2617215.84072894,16523102.738106,15.8397
2013,3,"2013-T3","Centro-Oeste",1426252.22638747,16523102.738106,8.6319
2013,3,"2013-T3","Norte",819939.41148306,16523102.738106,4.9624
2013,4,"2013-T4","Sudeste",9037225.42941346,16666839.4213333,54.2228
2013,4,"2013-T4","Sul",2704386.29470735,16666839.4213333,16.2261
2013,4,"2013-T4","Nordeste",2655701.56883423,16666839.4213333,15.934
2013,4,"2013-T4","Centro-Oeste",1450853.00702504,16666839.4213333,8.705
2013,4,"2013-T4","Norte",818673.12135319,16666839.4213333,4.912
2014,1,"2014-T1","Sudeste",9275525.76008815,17095560.1151598,54.2569
2014,1,"2014-T1","Sul",2784177.05189712,17095560.1151598,16.286
2014,1,"2014-T1","Nordeste",2767122.98619732,17095560.1151598,16.1862
2014,1,"2014-T1","Centro-Oeste",1431551.94247661,17095560.1151598,8.3738
2014,1,"2014-T1","Norte",837182.3745006,17095560.1151598,4.8971
2014,2,"2014-T2","Sudeste",9398873.32318512,17307068.3332666,54.3066
2014,2,"2014-T2","Nordeste",2813117.88443228,17307068.3332666,16.2542
2014,2,"2014-T2","Sul",2792354.19129281,17307068.3332666,16.1342
2014,2,"2014-T2","Centro-Oeste",1453339.99716278,17307068.3332666,8.3974
2014,2,"2014-T2","Norte",849382.93719365,17307068.3332666,4.9077
2014,3,"2014-T3","Sudeste",9462994.28406311,17467652.7294393,54.1744
2014,3,"2014-T3","Nordeste",2879358.15057217,17467652.7294393,16.4839
2014,3,"2014-T3","Sul",2801253.41987789,17467652.7294393,16.0368
2014,3,"2014-T3","Centro-Oeste",1465697.22871421,17467652.7294393,8.3909
2014,3,"2014-T3","Norte",858349.64621193,17467652.7294393,4.9139
2014,4,"2014-T4","Sudeste",9723798.54075931,17882024.6877844,54.3775
2014,4,"2014-T4","Nordeste",2985523.57534043,17882024.6877844,16.6957
2014,4,"2014-T4","Sul",2799947.6877069,17882024.6877844,15.6579
2014,4,"2014-T4","Centro-Oeste",1513706.46390878,17882024.6877844,8.465
2014,4,"2014-T4","Norte",859048.42006902,17882024.6877844,4.804
2015,1,"2015-T1","Sudeste",10029447.0492521,18564293.343084,54.0255
2015,1,"2015-T1","Nordeste",3060411.22449661,18564293.343084,16.4855
2015,1,"2015-T1","Sul",3004780.35651529,18564293.343084,16.1858
2015,1,"2015-T1","Centro-Oeste",1557251.19133714,18564293.343084,8.3884
2015,1,"2015-T1","Norte",912403.52148288,18564293.343084,4.9148
2015,2,"2015-T2","Sudeste",10213108.0494258,18842764.014244,54.2018
2015,2,"2015-T2","Nordeste",3164077.65506419,18842764.014244,16.792
2015,2,"2015-T2","Sul",2994625.99928479,18842764.014244,15.8927
2015,2,"2015-T2","Centro-Oeste",1564997.14156028,18842764.014244,8.3056
2015,2,"2015-T2","Norte",905955.168909,18842764.014244,4.808
2015,3,"2015-T3","Sudeste",10441252.8797498,19270041.0624403,54.1839
2015,3,"2015-T3","Nordeste",3233472.00678121,19270041.0624403,16.7798
2015,3,"2015-T3","Sul",3080097.86673833,19270041.0624403,15.9839
2015,3,"2015-T3","Centro-Oeste",1579933.42056678,19270041.0624403,8.1989
2015,3,"2015-T3","Norte",935284.88860416,19270041.0624403,4.8536
2015,4,"2015-T4","Sudeste",10529171.5515168,19586287.9693543,53.7579
2015,4,"2015-T4","Nordeste",3254258.09044985,19586287.9693543,16.615
2015,4,"2015-T4","Sul",3203299.21019868,19586287.9693543,16.3548
2015,4,"2015-T4","Centro-Oeste",1623328.11552004,19586287.9693543,8.2881
2015,4,"2015-T4","Norte",976231.00166891,19586287.9693543,4.9843
2016,1,"2016-T1","Sudeste",10884559.2538589,20176698.9278433,53.9462
2016,1,"2016-T1","Nordeste",3332777.01797671,20176698.9278433,16.5179
2016,1,"2016-T1","Sul",3266949.34156575,20176698.9278433,16.1917
2016,1,"2016-T1","Centro-Oeste",1669682.27909473,20176698.9278433,8.2753
2016,1,"2016-T1","Norte",1022731.03534719,20176698.9278433,5.0689
2016,2,"2016-T2","Sudeste",10767093.175944,20072720.5083255,53.6404
2016,2,"2016-T2","Nordeste",3309091.08866728,20072720.5083255,16.4855
2016,2,"2016-T2","Sul",3224940.89847713,20072720.5083255,16.0663
2016,2,"2016-T2","Centro-Oeste",1729320.67067882,20072720.5083255,8.6153
2016,2,"2016-T2","Norte",1042274.67455833,20072720.5083255,5.1925
2016,3,"2016-T3","Sudeste",10944918.4534636,20337831.6588602,53.8156
2016,3,"2016-T3","Sul",3311242.79300574,20337831.6588602,16.2812
2016,3,"2016-T3","Nordeste",3278564.25864799,20337831.6588602,16.1205
2016,3,"2016-T3","Centro-Oeste",1747642.25014049,20337831.6588602,8.5931
2016,3,"2016-T3","Norte",1055463.9036024,20337831.6588602,5.1897
2016,4,"2016-T4","Sudeste",11024493.2191654,20557896.7808076,53.6266
2016,4,"2016-T4","Nordeste",3338371.64330884,20557896.7808076,16.2389
2016,4,"2016-T4","Sul",3295306.41905216,20557896.7808076,16.0294
2016,4,"2016-T4","Centro-Oeste",1811065.67751327,20557896.7808076,8.8096
2016,4,"2016-T4","Norte",1088659.82176795,20557896.7808076,5.2956
2017,1,"2017-T1","Sudeste",11174162.310823,20991626.0484216,53.2315
2017,1,"2017-T1","Nordeste",3472533.27627458,20991626.0484216,16.5425
2017,1,"2017-T1","Sul",3372324.51404984,20991626.0484216,16.0651
2017,1,"2017-T1","Centro-Oeste",1873490.16358885,20991626.0484216,8.9249
2017,1,"2017-T1","Norte",1099115.78368529,20991626.0484216,5.236
2017,2,"2017-T2","Sudeste",11011144.3285662,20888573.5353264,52.7137
2017,2,"2017-T2","Nordeste",3495613.59724652,20888573.5353264,16.7346
2017,2,"2017-T2","Sul",3344325.82985525,20888573.5353264,16.0103
2017,2,"2017-T2","Centro-Oeste",1905640.97497574,20888573.5353264,9.1229
2017,2,"2017-T2","Norte",1131848.80468273,20888573.5353264,5.4185
2017,3,"2017-T3","Sudeste",11178817.9807676,21299889.7152796,52.483
2017,3,"2017-T3","Nordeste",3570925.19789022,21299889.7152796,16.765
2017,3,"2017-T3","Sul",3410918.57349768,21299889.7152796,16.0138
2017,3,"2017-T3","Centro-Oeste",1934786.57862705,21299889.7152796,9.0836
2017,3,"2017-T3","Norte",1204441.38449707,21299889.7152796,5.6547
2017,4,"2017-T4","Sudeste",11200893.5458032,21542964.899518,51.9933
2017,4,"2017-T4","Nordeste",3694266.37108624,21542964.899518,17.1484
2017,4,"2017-T4","Sul",3496607.88467825,21542964.899518,16.2309
2017,4,"2017-T4","Centro-Oeste",1931617.83969746,21542964.899518,8.9664
2017,4,"2017-T4","Norte",1219579.25825277,21542964.899518,5.6611
2018,1,"2018-T1","Sudeste",11438595.661105,22078677.8095264,51.8083
2018,1,"2018-T1","Nordeste",3804006.76390904,22078677.8095264,17.2293
2018,1,"2018-T1","Sul",3565048.34535614,22078677.8095264,16.147
2018,1,"2018-T1","Centro-Oeste",1997065.42653612,22078677.8095264,9.0452
2018,1,"2018-T1","Norte",1273961.61262016,22078677.8095264,5.7701
2018,2,"2018-T2","Sudeste",11517804.1403858,22249921.8797927,51.7656
2018,2,"2018-T2","Nordeste",3900228.01805614,22249921.8797927,17.5292
2018,2,"2018-T2","Sul",3555329.24820879,22249921.8797927,15.9791
2018,2,"2018-T2","Centro-Oeste",1985890.77516093,22249921.8797927,8.9254
2018,2,"2018-T2","Norte",1290669.69798106,22249921.8797927,5.8008
2018,3,"2018-T3","Sudeste",11667199.150424,22671752.3636664,51.4614
2018,3,"2018-T3","Nordeste",4029364.97183291,22671752.3636664,17.7726
2018,3,"2018-T3","Sul",3655045.52331185,22671752.3636664,16.1216
2018,3,"2018-T3","Centro-Oeste",2034014.94237019,22671752.3636664,8.9716
2018,3,"2018-T3","Norte",1286127.77572749,22671752.3636664,5.6728
2018,4,"2018-T4","Sudeste",12041195.9911671,23253013.1411089,51.7834
2018,4,"2018-T4","Nordeste",4136307.60334316,23253013.1411089,17.7883
2018,4,"2018-T4","Sul",3679803.59761316,23253013.1411089,15.8251
2018,4,"2018-T4","Centro-Oeste",2095759.65856933,23253013.1411089,9.0129
2018,4,"2018-T4","Norte",1299946.29041617,23253013.1411089,5.5904
2019,1,"2019-T1","Sudeste",12406383.4346913,23840648.9762788,52.0388
2019,1,"2019-T1","Nordeste",4182552.21585596,23840648.9762788,17.5438
2019,1,"2019-T1","Sul",3770021.18178245,23840648.9762788,15.8134
2019,1,"2019-T1","Centro-Oeste",2121378.71607228,23840648.9762788,8.8982
2019,1,"2019-T1","Norte",1360313.4278768,23840648.9762788,5.7059
2019,2,"2019-T2","Sudeste",12264670.6136825,23763584.174113,51.6112
2019,2,"2019-T2","Nordeste",4244030.52512896,23763584.174113,17.8594
2019,2,"2019-T2","Sul",3755535.93121699,23763584.174113,15.8037
2019,2,"2019-T2","Centro-Oeste",2135028.44940994,23763584.174113,8.9845
2019,2,"2019-T2","Norte",1364318.65467467,23763584.174113,5.7412
2019,3,"2019-T3","Sudeste",12327953.7271839,23947303.5455083,51.4795
2019,3,"2019-T3","Nordeste",4242332.81705624,23947303.5455083,17.7153
2019,3,"2019-T3","Sul",3790341.02906531,23947303.5455083,15.8278
2019,3,"2019-T3","Centro-Oeste",2126454.46284654,23947303.5455083,8.8797
2019,3,"2019-T3","Norte",1460221.50935633,23947303.5455083,6.0976
2019,4,"2019-T4","Sudeste",12425145.5990274,24271883.0757103,51.1915
2019,4,"2019-T4","Nordeste",4318727.04220187,24271883.0757103,17.7931
2019,4,"2019-T4","Sul",3903978.4555513,24271883.0757103,16.0844
2019,4,"2019-T4","Centro-Oeste",2174908.51607098,24271883.0757103,8.9606
2019,4,"2019-T4","Norte",1449123.46285872,24271883.0757103,5.9704
2020,1,"2020-T1","Sudeste",12881510.431818,25081393.8638158,51.3588
2020,1,"2020-T1","Nordeste",4515057.94727056,25081393.8638158,18.0016
2020,1,"2020-T1","Sul",4025498.45829265,25081393.8638158,16.0497
2020,1,"2020-T1","Centro-Oeste",2191918.18384097,25081393.8638158,8.7392
2020,1,"2020-T1","Norte",1467408.84259358,25081393.8638158,5.8506
2020,2,"2020-T2","Sudeste",13329752.1655341,26318649.4360769,50.6476
2020,2,"2020-T2","Nordeste",4722339.98746155,26318649.4360769,17.9429
2020,2,"2020-T2","Sul",4377091.3241942,26318649.4360769,16.6311
2020,2,"2020-T2","Centro-Oeste",2290348.4267215,26318649.4360769,8.7024
2020,2,"2020-T2","Norte",1599117.53216558,26318649.4360769,6.076
2020,3,"2020-T3","Sudeste",13662748.8887657,26474524.1394883,51.6072
2020,3,"2020-T3","Nordeste",4556337.68959389,26474524.1394883,17.2103
2020,3,"2020-T3","Sul",4389063.05976375,26474524.1394883,16.5784
2020,3,"2020-T3","Centro-Oeste",2326319.21369455,26474524.1394883,8.787
2020,3,"2020-T3","Norte",1540055.28767043,26474524.1394883,5.8171
2020,4,"2020-T4","Sudeste",14227322.320929,27405016.6389259,51.915
2020,4,"2020-T4","Sul",4639942.23289674,27405016.6389259,16.931
2020,4,"2020-T4","Nordeste",4587436.88790029,27405016.6389259,16.7394
2020,4,"2020-T4","Centro-Oeste",2363532.06736363,27405016.6389259,8.6245
2020,4,"2020-T4","Norte",1586783.12983625,27405016.6389259,5.7901
2021,1,"2021-T1","Sudeste",14473979.5946067,27867236.0255255,51.9391
2021,1,"2021-T1","Sul",4788086.74361743,27867236.0255255,17.1818
2021,1,"2021-T1","Nordeste",4520366.55595365,27867236.0255255,16.2211
2021,1,"2021-T1","Centro-Oeste",2452680.61904519,27867236.0255255,8.8013
2021,1,"2021-T1","Norte",1632122.51230255,27867236.0255255,5.8568
2021,2,"2021-T2","Sudeste",14558160.4686525,27504364.5119028,52.9304
2021,2,"2021-T2","Nordeste",4513265.1186516,27504364.5119028,16.4093
2021,2,"2021-T2","Sul",4409992.05359568,27504364.5119028,16.0338
2021,2,"2021-T2","Centro-Oeste",2437310.68892099,27504364.5119028,8.8615
2021,2,"2021-T2","Norte",1585636.18208207,27504364.5119028,5.765
2021,3,"2021-T3","Sudeste",13735379.4119703,26329139.6459008,52.168
2021,3,"2021-T3","Nordeste",4400319.97770855,26329139.6459008,16.7127
2021,3,"2021-T3","Sul",4189388.79618685,26329139.6459008,15.9116
2021,3,"2021-T3","Centro-Oeste",2381762.82091923,26329139.6459008,9.0461
2021,3,"2021-T3","Norte",1622288.63911586,26329139.6459008,6.1616
2021,4,"2021-T4","Sudeste",13756910.4284197,26358466.3415936,52.1916
2021,4,"2021-T4","Nordeste",4391752.17629161,26358466.3415936,16.6616
2021,4,"2021-T4","Sul",4244318.30204703,26358466.3415936,16.1023
2021,4,"2021-T4","Centro-Oeste",2345122.72860399,26358466.3415936,8.897
2021,4,"2021-T4","Norte",1620362.70623131,26358466.3415936,6.1474
2022,1,"2022-T1","Sudeste",13856376.1636478,26768637.4027694,51.7635
2022,1,"2022-T1","Nordeste",4597967.96992081,26768637.4027694,17.1767
2022,1,"2022-T1","Sul",4263099.71553901,26768637.4027694,15.9257
2022,1,"2022-T1","Centro-Oeste",2408232.63477317,26768637.4027694,8.9965
2022,1,"2022-T1","Norte",1642960.91888867,26768637.4027694,6.1376
2022,2,"2022-T2","Sudeste",14035115.3856246,26957148.8549917,52.0645
2022,2,"2022-T2","Nordeste",4610125.78096758,26957148.8549917,17.1017
2022,2,"2022-T2","Sul",4254572.98454926,26957148.8549917,15.7827
2022,2,"2022-T2","Centro-Oeste",2385429.87373611,26957148.8549917,8.849
2022,2,"2022-T2","Norte",1671904.83011416,26957148.8549917,6.2021
2022,3,"2022-T3","Sudeste",13974117.9920791,27175304.5279605,51.4221
2022,3,"2022-T3","Nordeste",4720689.77016331,27175304.5279605,17.3712
2022,3,"2022-T3","Sul",4283744.42607142,27175304.5279605,15.7634
2022,3,"2022-T3","Centro-Oeste",2454037.32443722,27175304.5279605,9.0304
2022,3,"2022-T3","Norte",1742715.01520944,27175304.5279605,6.4129
2022,4,"2022-T4","Sudeste",14191044.5282133,27702248.4930664,51.227
2022,4,"2022-T4","Nordeste",4957248.47832954,27702248.4930664,17.8948
2022,4,"2022-T4","Sul",4284196.38389883,27702248.4930664,15.4652
2022,4,"2022-T4","Centro-Oeste",2519599.09004991,27702248.4930664,9.0953
2022,4,"2022-T4","Norte",1750160.01257485,27702248.4930664,6.3178
2023,1,"2023-T1","Sudeste",14224644.2733798,27796623.7073221,51.174
2023,1,"2023-T1","Nordeste",4943842.22903578,27796623.7073221,17.7858
2023,1,"2023-T1","Sul",4292936.53452491,27796623.7073221,15.4441
2023,1,"2023-T1","Centro-Oeste",2576365.63356807,27796623.7073221,9.2686
2023,1,"2023-T1","Norte",1758835.03681361,27796623.7073221,6.3275
2023,2,"2023-T2","Sudeste",14351448.2214865,27979520.5353405,51.2927
2023,2,"2023-T2","Nordeste",4916123.13962591,27979520.5353405,17.5704
2023,2,"2023-T2","Sul",4304591.63060112,27979520.5353405,15.3848
2023,2,"2023-T2","Centro-Oeste",2666115.3611418,27979520.5353405,9.5288
2023,2,"2023-T2","Norte",1741242.18248516,27979520.5353405,6.2233
2023,3,"2023-T3","Sudeste",14508270.344352,28437131.1085184,51.0188
2023,3,"2023-T3","Nordeste",5042044.98507111,28437131.1085184,17.7305
2023,3,"2023-T3","Sul",4438838.74561959,28437131.1085184,15.6093
2023,3,"2023-T3","Centro-Oeste",2655734.49357283,28437131.1085184,9.339
2023,3,"2023-T3","Norte",1792242.53990286,28437131.1085184,6.3025
2023,4,"2023-T4","Sudeste",14692760.0067177,28881794.593182,50.872
2023,4,"2023-T4","Nordeste",5102675.39933459,28881794.593182,17.6674
2023,4,"2023-T4","Sul",4525742.54778113,28881794.593182,15.6699
2023,4,"2023-T4","Centro-Oeste",2733907.87278954,28881794.593182,9.4659
2023,4,"2023-T4","Norte",1826708.76655899,28881794.593182,6.3248
2024,1,"2024-T1","Sudeste",14969010.7993753,29375924.5266556,50.9567
2024,1,"2024-T1","Nordeste",5198410.6636841,29375924.5266556,17.6962
2024,1,"2024-T1","Sul",4575576.21290181,29375924.5266556,15.5759
2024,1,"2024-T1","Centro-Oeste",2783100.68049712,29375924.5266556,9.4741
2024,1,"2024-T1","Norte",1849826.17019725,29375924.5266556,6.2971
2024,2,"2024-T2","Sudeste",15054338.5625854,29581666.7472501,50.8908
2024,2,"2024-T2","Nordeste",5309578.16555767,29581666.7472501,17.9489
2024,2,"2024-T2","Sul",4606152.86710955,29581666.7472501,15.571
2024,2,"2024-T2","Centro-Oeste",2754454.43453873,29581666.7472501,9.3114
2024,2,"2024-T2","Norte",1857142.71745884,29581666.7472501,6.278
2024,3,"2024-T3","Sudeste",15001829.8513825,29668757.9938857,50.5644
2024,3,"2024-T3","Nordeste",5310829.18372693,29668757.9938857,17.9004
2024,3,"2024-T3","Sul",4719041.50898279,29668757.9938857,15.9058
2024,3,"2024-T3","Centro-Oeste",2721413.38176352,29668757.9938857,9.1727
2024,3,"2024-T3","Norte",1915644.06803004,29668757.9938857,6.4568
2024,4,"2024-T4","Sudeste",15390234.7968727,30331075.002069,50.7408
2024,4,"2024-T4","Nordeste",5424795.6129941,30331075.002069,17.8853
2024,4,"2024-T4","Sul",4785909.65229069,30331075.002069,15.7789
