"Ano","Trimestre","periodo","sexo","peso_ponderado_superior_completo","total_ponderado_superior_completo_periodo","percentual"
2012,1,"2012-T1","Mulher",9048722.88857081,15515687.2648673,58.3198
2012,1,"2012-T1","Homem",6466964.37629652,15515687.2648673,41.6802
2012,2,"2012-T2","Mulher",9130531.74469,15593898.1163427,58.552
2012,2,"2012-T2","Homem",6463366.37165273,15593898.1163427,41.448
2012,3,"2012-T3","Mulher",9253638.39615596,15790957.7529118,58.6009
2012,3,"2012-T3","Homem",6537319.35675585,15790957.7529118,41.3991
2012,4,"2012-T4","Mulher",9316685.01512607,16072295.6284475,57.9674
2012,4,"2012-T4","Homem",6755610.61332145,16072295.6284475,42.0326
2013,1,"2013-T1","Mulher",9488397.01815372,16328824.0773698,58.1083
2013,1,"2013-T1","Homem",6840427.05921607,16328824.0773698,41.8917
2013,2,"2013-T2","Mulher",9511284.19995416,16434817.9943814,57.8728
2013,2,"2013-T2","Homem",6923533.79442724,16434817.9943814,42.1272
2013,3,"2013-T3","Mulher",9559730.4265225,16523102.738106,57.8568
2013,3,"2013-T3","Homem",6963372.31158348,16523102.738106,42.1432
2013,4,"2013-T4","Mulher",9649187.7195603,16666839.4213333,57.8945
2013,4,"2013-T4","Homem",7017651.70177297,16666839.4213333,42.1055
2014,1,"2014-T1","Mulher",9886155.72039148,17095560.1151598,57.8288
2014,1,"2014-T1","Homem",7209404.39476832,17095560.1151598,42.1712
2014,2,"2014-T2","Mulher",9994720.69329174,17307068.3332666,57.7494
2014,2,"2014-T2","Homem",7312347.6399749,17307068.3332666,42.2506
2014,3,"2014-T3","Mulher",10115345.5608098,17467652.7294393,57.909
2014,3,"2014-T3","Homem",7352307.16862949,17467652.7294393,42.091
2014,4,"2014-T4","Mulher",10421842.9704202,17882024.6877844,58.2811
2014,4,"2014-T4","Homem",7460181.71736425,17882024.6877844,41.7189
2015,1,"2015-T1","Mulher",10781191.4926572,18564293.343084,58.0749
2015,1,"2015-T1","Homem",7783101.8504268,18564293.343084,41.9251
2015,2,"2015-T2","Mulher",10922479.2799143,18842764.014244,57.9664
2015,2,"2015-T2","Homem",7920284.73432974,18842764.014244,42.0336
2015,3,"2015-T3","Mulher",11163746.9627156,19270041.0624403,57.9332
2015,3,"2015-T3","Homem",8106294.09972473,19270041.0624403,42.0668
2015,4,"2015-T4","Mulher",11379020.3750924,19586287.9693543,58.0969
2015,4,"2015-T4","Homem",8207267.59426192,19586287.9693543,41.9031
2016,1,"2016-T1","Mulher",11630490.048663,20176698.9278433,57.6432
2016,1,"2016-T1","Homem",8546208.87918033,20176698.9278433,42.3568
2016,2,"2016-T2","Mulher",11618106.6950924,20072720.5083255,57.8801
2016,2,"2016-T2","Homem",8454613.81323309,20072720.5083255,42.1199
2016,3,"2016-T3","Mulher",11803505.9208615,20337831.6588602,58.0372
2016,3,"2016-T3","Homem",8534325.7379987,20337831.6588602,41.9628
