"Ano","Trimestre","periodo","unidade_da_federacao","peso_ponderado_superior_completo","total_ponderado_superior_completo_periodo","percentual"
2012,1,"2012-T1","SP",5011846.81671514,15515687.2648673,32.3018
2012,1,"2012-T1","RJ",1658421.71129534,15515687.2648673,10.6887
2012,1,"2012-T1","MG",1453069.69201048,15515687.2648673,9.3652
2012,1,"2012-T1","PR",976219.47448122,15515687.2648673,6.2918
2012,1,"2012-T1","RS",885662.21529997,15515687.2648673,5.7082
2012,1,"2012-T1","BA",628180.17294367,15515687.2648673,4.0487
2012,1,"2012-T1","PE",586262.490995,15515687.2648673,3.7785
2012,1,"2012-T1","SC",579424.88776148,15515687.2648673,3.7344
2012,1,"2012-T1","DF",480685.1752581,15515687.2648673,3.0981
2012,1,"2012-T1","GO",445851.3558343,15515687.2648673,2.8736
2012,1,"2012-T1","CE",402179.96348731,15515687.2648673,2.5921
2012,1,"2012-T1","PA",290021.70494764,15515687.2648673,1.8692
2012,1,"2012-T1","ES",288189.58013475,15515687.2648673,1.8574
2012,1,"2012-T1","MT",248300.81245672,15515687.2648673,1.6003
2012,1,"2012-T1","PB",199815.04367229,15515687.2648673,1.2878
2012,1,"2012-T1","MA",192390.48789867,15515687.2648673,1.24
2012,1,"2012-T1","MS",184451.19787015,15515687.2648673,1.1888
2012,1,"2012-T1","AM",168148.54839298,15515687.2648673,1.0837
2012,1,"2012-T1","PI",164139.74604794,15515687.2648673,1.0579
2012,1,"2012-T1","RN",152904.79713047,15515687.2648673,0.9855
2012,1,"2012-T1","SE",117799.49928283,15515687.2648673,0.7592
2012,1,"2012-T1","AL",114502.2983873,15515687.2648673,0.738
2012,1,"2012-T1","TO",85905.66822744,15515687.2648673,0.5537
2012,1,"2012-T1","RO",85568.34986977,15515687.2648673,0.5515
2012,1,"2012-T1","AC",44160.73582238,15515687.2648673,0.2846
2012,1,"2012-T1","AP",38360.47925718,15515687.2648673,0.2472
2012,1,"2012-T1","RR",33224.35938681,15515687.2648673,0.2141
2012,2,"2012-T2","SP",5178065.05529008,15593898.1163427,33.2057
2012,2,"2012-T2","RJ",1657315.06317709,15593898.1163427,10.628
2012,2,"2012-T2","MG",1473673.45428991,15593898.1163427,9.4503
2012,2,"2012-T2","PR",1006683.83482217,15593898.1163427,6.4556
2012,2,"2012-T2","RS",863596.81554104,15593898.1163427,5.538
2012,2,"2012-T2","BA",590497.39838566,15593898.1163427,3.7867
2012,2,"2012-T2","SC",582438.30462332,15593898.1163427,3.735
2012,2,"2012-T2","PE",554717.08973757,15593898.1163427,3.5573
2012,2,"2012-T2","DF",475674.19962384,15593898.1163427,3.0504
2012,2,"2012-T2","GO",446566.50006782,15593898.1163427,2.8637
2012,2,"2012-T2","CE",398992.2477212,15593898.1163427,2.5586
2012,2,"2012-T2","PA",281029.96217296,15593898.1163427,1.8022
2012,2,"2012-T2","ES",274518.32810008,15593898.1163427,1.7604
2012,2,"2012-T2","MT",229588.40347575,15593898.1163427,1.4723
2012,2,"2012-T2","MA",194053.31611809,15593898.1163427,1.2444
2012,2,"2012-T2","MS",185242.56723042,15593898.1163427,1.1879
2012,2,"2012-T2","PB",184915.61508388,15593898.1163427,1.1858
2012,2,"2012-T2","AM",164234.85106461,15593898.1163427,1.0532
2012,2,"2012-T2","PI",161801.95972966,15593898.1163427,1.0376
2012,2,"2012-T2","RN",155311.07133432,15593898.1163427,0.996
2012,2,"2012-T2","SE",123579.23267469,15593898.1163427,0.7925
2012,2,"2012-T2","AL",120950.87863273,15593898.1163427,0.7756
2012,2,"2012-T2","TO",87387.12645645,15593898.1163427,0.5604
2012,2,"2012-T2","RO",81973.38050774,15593898.1163427,0.5257
2012,2,"2012-T2","AC",46099.97448455,15593898.1163427,0.2956
2012,2,"2012-T2","AP",41394.56777729,15593898.1163427,0.2655
2012,2,"2012-T2","RR",33596.91821981,15593898.1163427,0.2154
2012,3,"2012-T3","SP",5241576.3317493,15790957.7529118,33.1935
2012,3,"2012-T3","RJ",1631557.11022678,15790957.7529118,10.3322
2012,3,"2012-T3","MG",1469727.35317727,15790957.7529118,9.3074
2012,3,"2012-T3","PR",1020900.02291537,15790957.7529118,6.4651
2012,3,"2012-T3","RS",877986.69228099,15790957.7529118,5.5601
2012,3,"2012-T3","BA",641890.20340998,15790957.7529118,4.0649
2012,3,"2012-T3","SC",608784.07992354,15790957.7529118,3.8553
2012,3,"2012-T3","PE",565282.56222119,15790957.7529118,3.5798
