"Ano","Trimestre","periodo","ocupacao_codigo","ocupacao_nome","ocupacao_nivel_superior","peso_total_ocupados_ocupacao","registros_total_ocupados_ocupacao","peso_universo_superior_completo_classificado_ocupacao","registros_universo_superior_completo_classificado_ocupacao","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_total_ocupados_ocupacao","percentual_sobreeducados_entre_superior_completo_classificado_ocupacao","peso_sobreeducados_total_periodo","participacao_da_ocupacao_no_total_sobreeducados_periodo"
2012,4,"2012-T4","4110","Escriturários gerais",0,3179983.34161371,7845,745105.97190767,1850,745105.97190767,1850,23.4311,100,3964726.30059182,18.7934
2012,4,"2012-T4","5223","Balconistas e vendedores de lojas",0,4489169.4513627,11126,244545.14090157,525,244545.14090157,525,5.4474,100,3964726.30059182,6.168
2012,4,"2012-T4","5221","Comerciantes de lojas",0,1539433.93612603,4256,170156.34482835,375,170156.34482835,375,11.0532,100,3964726.30059182,4.2918
2012,4,"2012-T4","3411","Profissionais de nível médio do direito e serviços legais e afins",0,281315.89308647,709,138769.14861683,372,138769.14861683,372,49.3286,100,3964726.30059182,3.5001
2012,4,"2012-T4","3341","Supervisores de secretaria",0,464431.84575069,1038,126577.38215793,279,126577.38215793,279,27.2542,100,3964726.30059182,3.1926
2012,4,"2012-T4","4120","Secretários (geral)",0,536876.66692185,1343,108811.86600406,277,108811.86600406,277,20.2676,100,3964726.30059182,2.7445
2012,4,"2012-T4","3334","Agentes imobiliários",0,281463.45587523,630,79809.95699044,153,79809.95699044,153,28.3554,100,3964726.30059182,2.013
2012,4,"2012-T4","3322","Representantes comerciais",0,383916.25820246,919,78134.3849671,149,78134.3849671,149,20.3519,100,3964726.30059182,1.9707
2012,4,"2012-T4","4226","Recepcionistas em geral",0,856926.35583809,1972,71597.64835059,169,71597.64835059,169,8.3552,100,3964726.30059182,1.8059
2012,4,"2012-T4","3221","Profissionais de nível médio de enfermagem",0,553569.25404778,1444,68408.90455473,191,68408.90455473,191,12.3578,100,3964726.30059182,1.7254
2012,4,"2012-T4","3342","Secretários jurídicos",0,102304.84833799,216,53851.53345087,104,53851.53345087,104,52.6383,100,3964726.30059182,1.3583
2012,4,"2012-T4","4321","Trabalhadores de controle de abastecimento e estoques",0,893195.45581346,1946,52792.84209561,100,52792.84209561,100,5.9106,100,3964726.30059182,1.3316
