"Ano","Trimestre","periodo","cor_ou_raca","peso_universo","registros_universo","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_grupo","peso_sobreeducados_total_periodo","participacao_do_grupo_no_total_sobreeducados_periodo"
2012,1,"2012-T1","Amarela",98280.50774001,160,44395.80033688,84,45.1725,3356334.63336439,1.3227
2012,1,"2012-T1","Branca",5044383.3526866,10814,2271298.74155974,5008,45.0263,3356334.63336439,67.672
2012,1,"2012-T1","Indigena",13278.49693176,26,4012.77928538,11,30.2201,3356334.63336439,0.1196
2012,1,"2012-T1","Parda",1575600.63452034,4496,871151.02181601,2499,55.2901,3356334.63336439,25.9554
2012,1,"2012-T1","Preta",301795.92715494,705,165476.29036638,389,54.8305,3356334.63336439,4.9303
2012,2,"2012-T2","Amarela",101235.36451685,163,40953.63138177,66,40.4539,3393661.61527084,1.2068
2012,2,"2012-T2","Branca",5105901.75641449,11098,2300175.1255812,5047,45.0493,3393661.61527084,67.7786
2012,2,"2012-T2","Indigena",8300.44927688,17,2505.20660924,7,30.1816,3393661.61527084,0.0738
2012,2,"2012-T2","Parda",1619134.76156217,4712,885045.72692107,2586,54.6616,3393661.61527084,26.0794
2012,2,"2012-T2","Preta",287059.69871857,679,164981.92477756,392,57.473,3393661.61527084,4.8615
2012,3,"2012-T3","Amarela",117739.05104294,177,43232.32858363,70,36.7188,3416081.76488145,1.2656
2012,3,"2012-T3","Branca",5190713.60646887,11014,2296738.5171698,5010,44.2471,3416081.76488145,67.2331
2012,3,"2012-T3","Indigena",8038.09981108,20,1671.15265881,5,20.7904,3416081.76488145,0.0489
2012,3,"2012-T3","Parda",1683436.79515293,4721,913841.69414485,2565,54.2843,3416081.76488145,26.7512
2012,3,"2012-T3","Preta",287848.60261758,684,160598.07232436,388,55.7925,3416081.76488145,4.7012
2012,4,"2012-T4","Amarela",99802.42887133,158,42686.16234418,73,42.7707,3484858.11378923,1.2249
2012,4,"2012-T4","Branca",5167032.49901361,10794,2329078.74365741,4994,45.0758,3484858.11378923,66.8342
2012,4,"2012-T4","Indigena",5859.65617396,14,755.0870679,3,12.8862,3484858.11378923,0.0217
2012,4,"2012-T4","Parda",1700320.69649193,4740,934994.53384478,2624,54.9893,3484858.11378923,26.8302
2012,4,"2012-T4","Preta",293780.06983144,681,177343.58687496,419,60.3661,3484858.11378923,5.089
2013,1,"2013-T1","Amarela",94833.49836623,158,42947.3670608,72,45.2871,3570700.32811087,1.2028
2013,1,"2013-T1","Branca",5253193.71239077,11285,2377119.04318435,5266,45.2509,3570700.32811087,66.5729
2013,1,"2013-T1","Indigena",5594.65661842,16,1468.40154447,6,26.2465,3570700.32811087,0.0411
2013,1,"2013-T1","Parda",1731734.16887863,5008,972770.57552407,2794,56.1732,3570700.32811087,27.2431
2013,1,"2013-T1","Preta",285304.54931266,693,176394.94079718,410,61.8269,3570700.32811087,4.9401
2013,2,"2013-T2","Amarela",121900.81495722,188,56385.80641493,93,46.2555,3499360.43340156,1.6113
2013,2,"2013-T2","Branca",5181976.71774131,11232,2336174.24345825,5183,45.0827,3499360.43340156,66.76
2013,2,"2013-T2","Indigena",5803.27224271,22,2874.70108787,10,49.5359,3499360.43340156,0.0821
2013,2,"2013-T2","Parda",1745103.55186258,5216,926768.49197837,2775,53.1068,3499360.43340156,26.4839
2013,2,"2013-T2","Preta",309412.87444666,752,177157.19046214,419,57.2559,3499360.43340156,5.0626
2013,3,"2013-T3","Amarela",124512.31668581,183,55565.7332282,95,44.6267,3538841.93335996,1.5702
2013,3,"2013-T3","Branca",5370615.19151996,11456,2398031.63756898,5181,44.651,3538841.93335996,67.7632
2013,3,"2013-T3","Indigena",7116.14417991,23,2137.28155401,11,30.0343,3538841.93335996,0.0604
2013,3,"2013-T3","Parda",1718553.44619645,5093,923639.22226115,2733,53.7452,3538841.93335996,26.1
2013,3,"2013-T3","Preta",305149.95875174,754,159468.05874762,401,52.2589,3538841.93335996,4.5062
2013,4,"2013-T4","Amarela",98254.09934914,161,41469.13302979,77,42.206,3540833.16785503,1.1712
