"Ano","Trimestre","periodo","regiao","peso_universo","registros_universo","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_grupo","peso_sobreeducados_total_periodo","participacao_do_grupo_no_total_sobreeducados_periodo"
2012,4,"2012-T4","Centro-Oeste",1117877.60752017,3747,569980.98921228,1903,50.9878,6331093.07019739,9.0029
2012,4,"2012-T4","Nordeste",2031044.96934122,5793,907408.65168779,2522,44.6769,6331093.07019739,14.3326
2012,4,"2012-T4","Norte",630529.06657903,3122,293737.38524661,1458,46.5859,6331093.07019739,4.6396
2012,4,"2012-T4","Sudeste",7034628.04920925,9931,3508186.89422547,4850,49.8703,6331093.07019739,55.412
2012,4,"2012-T4","Sul",2072520.4905621,6123,1051779.14982524,3083,50.7488,6331093.07019739,16.6129
2013,4,"2013-T4","Centro-Oeste",1164017.89250636,3955,583970.53619734,2004,50.1685,6427003.20793595,9.0862
2013,4,"2013-T4","Nordeste",2132535.32936263,6386,928857.45565604,2759,43.5565,6427003.20793595,14.4524
2013,4,"2013-T4","Norte",679306.02660822,3374,298313.42861604,1473,43.9144,6427003.20793595,4.6416
2013,4,"2013-T4","Sudeste",7154065.13121373,10343,3475882.86622593,4922,48.5861,6427003.20793595,54.0825
2013,4,"2013-T4","Sul",2227487.90951733,6691,1139978.9212406,3474,51.1778,6427003.20793595,17.7373
2014,4,"2014-T4","Centro-Oeste",1245785.02756209,4246,609773.22354982,2099,48.9469,7004551.04942638,8.7054
2014,4,"2014-T4","Nordeste",2388464.72245416,7220,1085567.50243334,3187,45.4504,7004551.04942638,15.498
2014,4,"2014-T4","Norte",710871.63230568,3718,318223.92487652,1688,44.7653,7004551.04942638,4.5431
2014,4,"2014-T4","Sudeste",7750823.66200594,11182,3831852.72090688,5363,49.438,7004551.04942638,54.7052
2014,4,"2014-T4","Sul",2325056.59829789,7095,1159133.67765982,3528,49.854,7004551.04942638,16.5483
2015,4,"2015-T4","Centro-Oeste",1295358.61334401,4370,717280.91691891,2387,55.3732,8044163.05271169,8.9168
2015,4,"2015-T4","Nordeste",2571606.09413671,7271,1221048.3258835,3358,47.4819,8044163.05271169,15.1793
2015,4,"2015-T4","Norte",796501.45363972,3895,381171.34187239,1874,47.8557,8044163.05271169,4.7385
2015,4,"2015-T4","Sudeste",8257563.00818761,11655,4327603.59871216,5847,52.4078,8044163.05271169,53.7981
2015,4,"2015-T4","Sul",2648010.74494,7635,1397058.86932473,4038,52.7588,8044163.05271169,17.3674
2016,4,"2016-T4","Centro-Oeste",1436294.27738063,4829,800814.03289417,2727,55.7556,8514727.16938448,9.405
2016,4,"2016-T4","Nordeste",2591483.85529644,7618,1198489.96063624,3454,46.2472,8514727.16938448,14.0755
2016,4,"2016-T4","Norte",885782.64919886,4362,450756.70242339,2153,50.888,8514727.16938448,5.2938
2016,4,"2016-T4","Sudeste",8669949.94210078,11934,4600424.79358468,6198,53.0617,8514727.16938448,54.029
2016,4,"2016-T4","Sul",2692521.71323286,7881,1464241.679846,4316,54.3818,8514727.16938448,17.1966
2017,4,"2017-T4","Centro-Oeste",1534621.70132003,5002,863697.04277731,2830,56.2808,8885601.06139261,9.7202
2017,4,"2017-T4","Nordeste",2841006.04144053,8159,1376529.18127374,3849,48.4522,8885601.06139261,15.4917
2017,4,"2017-T4","Norte",971316.94951119,4653,472762.06350968,2345,48.6723,8885601.06139261,5.3205
2017,4,"2017-T4","Sudeste",8673326.69788693,12759,4660374.57956381,6634,53.7323,8885601.06139261,52.4486
2017,4,"2017-T4","Sul",2835805.36000218,8142,1512238.19426807,4356,53.3266,8885601.06139261,17.019
2018,4,"2018-T4","Centro-Oeste",1683711.01378796,5358,933728.43041059,3052,55.4566,9411822.18910423,9.9208
2018,4,"2018-T4","Nordeste",3222912.92899892,8895,1514688.84084724,4100,46.9975,9411822.18910423,16.0935
2018,4,"2018-T4","Norte",1015087.99800998,4684,508363.88548903,2363,50.0808,9411822.18910423,5.4013
2018,4,"2018-T4","Sudeste",9302790.90859837,13602,4845782.43629289,6941,52.0896,9411822.18910423,51.4861
2018,4,"2018-T4","Sul",3009820.48246484,8510,1609258.59606448,4561,53.4669,9411822.18910423,17.0983
2019,4,"2019-T4","Centro-Oeste",1723988.5373759,5299,948936.1639319,2963,55.0431,10134033.5146669,9.3639
2019,4,"2019-T4","Nordeste",3313082.22074526,8971,1620290.00411647,4303,48.9058,10134033.5146669,15.9886
2019,4,"2019-T4","Norte",1145098.78746422,5083,599098.95441517,2669,52.3185,10134033.5146669,5.9118
2019,4,"2019-T4","Sudeste",9745432.16323006,13753,5232534.95428732,7181,53.6922,10134033.5146669,51.6333
2019,4,"2019-T4","Sul",3215364.23227053,8851,1733173.43791601,4739,53.9029,10134033.5146669,17.1025
2020,4,"2020-T4","Centro-Oeste",1790248.79760607,3523,1018245.36084894,1983,56.8773,10637544.2815079,9.5722
2020,4,"2020-T4","Nordeste",3300111.69395046,5312,1665887.63467236,2515,50.4797,10637544.2815079,15.6605
2020,4,"2020-T4","Norte",1196300.35235688,3476,578806.00802615,1825,48.383,10637544.2815079,5.4412
2020,4,"2020-T4","Sudeste",10464967.2753839,9500,5405518.65816526,4746,51.6535,10637544.2815079,50.8155
2020,4,"2020-T4","Sul",3673366.87085281,5953,1969086.61979523,3156,53.6044,10637544.2815079,18.5107
2021,4,"2021-T4","Centro-Oeste",1863916.82754383,4690,1064883.7920211,2703,57.1315,10788967.8413314,9.8701
2021,4,"2021-T4","Nordeste",3318089.49581071,7444,1653432.72650328,3604,49.8309,10788967.8413314,15.3252
2021,4,"2021-T4","Norte",1265601.30332868,4405,690636.39192082,2411,54.5698,10788967.8413314,6.4013
2021,4,"2021-T4","Sudeste",10638949.0149814,12045,5513441.23832156,6125,51.8232,10788967.8413314,51.1026
2021,4,"2021-T4","Sul",3418381.37532392,7982,1866573.69256468,4374,54.604,10788967.8413314,17.3008
2022,4,"2022-T4","Centro-Oeste",2026625.09025232,5375,1146941.24013927,3028,56.5937,11456139.3068384,10.0116
2022,4,"2022-T4","Nordeste",3797456.86912205,8818,1888352.73545235,4287,49.7268,11456139.3068384,16.4833
2022,4,"2022-T4","Norte",1419761.96332846,5085,764867.58341424,2772,53.8729,11456139.3068384,6.6765
2022,4,"2022-T4","Sudeste",11190930.5709898,13477,5736756.57322557,6835,51.2626,11456139.3068384,50.0758
2022,4,"2022-T4","Sul",3541415.44185335,8597,1919221.17460702,4631,54.1936,11456139.3068384,16.7528
2023,4,"2023-T4","Centro-Oeste",2212827.59553281,5771,1243094.86037818,3239,56.1768,12049075.4892676,10.3169
2023,4,"2023-T4","Nordeste",3937307.98198245,9031,1987379.59196148,4470,50.4756,12049075.4892676,16.494
2023,4,"2023-T4","Norte",1465463.97565323,5058,785709.64100339,2704,53.6151,12049075.4892676,6.5209
2023,4,"2023-T4","Sudeste",11653773.2406149,14130,6006517.0657105,7145,51.5414,12049075.4892676,49.8504
2023,4,"2023-T4","Sul",3749152.07825719,8821,2026374.33021402,4757,54.0489,12049075.4892676,16.8177
2024,4,"2024-T4","Centro-Oeste",2296679.26601042,5703,1292064.21434897,3236,56.2579,12790762.5531382,10.1015
2024,4,"2024-T4","Nordeste",4230277.85785052,9794,2121885.19752072,4810,50.1595,12790762.5531382,16.5892
2024,4,"2024-T4","Norte",1535836.69404202,5257,819136.88754689,2811,53.3349,12790762.5531382,6.4041
2024,4,"2024-T4","Sudeste",12288074.6946403,14766,6426655.88159413,7598,52.2999,12790762.5531382,50.2445
2024,4,"2024-T4","Sul",3958007.2493216,9502,2131020.37212745,5134,53.8407,12790762.5531382,16.6606
2025,4,"2025-T4","Centro-Oeste",2430529.35360152,6578,1341728.84958535,3618,55.2032,13434052.8383617,9.9875
2025,4,"2025-T4","Nordeste",4706772.60252264,11681,2240677.7349158,5517,47.6054,13434052.8383617,16.6791
2025,4,"2025-T4","Norte",1576551.45189147,6012,864463.03374841,3306,54.8325,13434052.8383617,6.4349
2025,4,"2025-T4","Sudeste",12888263.4015653,16129,6609594.08172461,8206,51.2838,13434052.8383617,49.2003
2025,4,"2025-T4","Sul",4349268.79501409,11170,2377589.1383875,6029,54.6664,13434052.8383617,17.6982
