"Ano","Trimestre","periodo","sexo","peso_universo","registros_universo","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_grupo","peso_sobreeducados_total_periodo","participacao_do_grupo_no_total_sobreeducados_periodo"
2012,1,"2012-T1","Homem",3262983.73028284,7270,1529216.89135615,3538,46.8656,3356334.63336439,45.5621
2012,1,"2012-T1","Mulher",3770355.18875081,8931,1827117.74200824,4453,48.4601,3356334.63336439,54.4379
2012,2,"2012-T2","Homem",3247425.53585275,7417,1522024.94750058,3531,46.8687,3393661.61527084,44.849
2012,2,"2012-T2","Mulher",3874206.49463621,9252,1871636.66777026,4567,48.3102,3393661.61527084,55.151
2012,3,"2012-T3","Homem",3303773.8012356,7366,1551964.8292074,3558,46.9755,3416081.76488145,45.4311
2012,3,"2012-T3","Mulher",3984002.3538578,9250,1864116.93567405,4480,46.7901,3416081.76488145,54.5689
2012,4,"2012-T4","Homem",3401151.53431341,7368,1646439.57570318,3629,48.4083,3484858.11378923,47.2455
2012,4,"2012-T4","Mulher",3865643.81606886,9019,1838418.53808605,4484,47.5579,3484858.11378923,52.7545
2013,1,"2013-T1","Homem",3395338.56123104,7660,1639500.21176916,3795,48.2868,3570700.32811087,45.9154
2013,1,"2013-T1","Mulher",3975322.02433567,9500,1931200.11634171,4753,48.5797,3570700.32811087,54.0846
2013,2,"2013-T2","Homem",3440528.17117385,7856,1645216.13998871,3807,47.8187,3499360.43340156,47.0148
2013,2,"2013-T2","Mulher",3923669.06007663,9554,1854144.29341285,4673,47.2554,3499360.43340156,52.9852
2013,3,"2013-T3","Homem",3472041.8666272,7863,1619047.63829242,3707,46.631,3538841.93335996,45.7508
2013,3,"2013-T3","Mulher",4053905.19070667,9646,1919794.29506754,4714,47.3567,3538841.93335996,54.2492
2013,4,"2013-T4","Homem",3508026.97023387,7997,1615438.12838046,3774,46.0498,3540833.16785503,45.6231
2013,4,"2013-T4","Mulher",4075301.39329111,9698,1925395.03947457,4743,47.2455,3540833.16785503,54.3769
2014,1,"2014-T1","Homem",3721199.56138616,8387,1704034.23270528,3963,45.7926,3713260.04170195,45.8905
2014,1,"2014-T1","Mulher",4173142.89624017,10174,2009225.80899667,4992,48.1466,3713260.04170195,54.1095
2014,2,"2014-T2","Homem",3765815.39064958,8518,1718972.63268826,3960,45.6468,3762830.74803725,45.683
2014,2,"2014-T2","Mulher",4253340.09590635,10291,2043858.11534899,5006,48.053,3762830.74803725,54.317
2014,3,"2014-T3","Homem",3765598.01879633,8694,1727362.23597189,4139,45.8722,3747011.29078483,46.0997
2014,3,"2014-T3","Mulher",4297914.78035158,10525,2019649.05481294,5065,46.9914,3747011.29078483,53.9003
2014,4,"2014-T4","Homem",3702440.68466056,8466,1766481.68747778,4103,47.7113,3886715.84130227,45.4492
2014,4,"2014-T4","Mulher",4395897.26264798,10491,2120234.15382449,5184,48.2321,3886715.84130227,54.5508
2015,1,"2015-T1","Homem",3874832.10178879,8867,1855943.23543413,4328,47.8974,4073114.14370453,45.5657
