"unidade_da_federacao","Ano","Trimestre","periodo","peso_universo","registros_universo","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_grupo","peso_sobreeducados_total_periodo","participacao_do_grupo_no_total_sobreeducados_periodo","uf_nome"
"AC",2012,4,"2012-T4",20840.83254598,289,12110.72730238,167,58.1106,3964726.30059182,0.3055,"Acre"
"AL",2012,4,"2012-T4",52923.77161201,312,28993.10359419,171,54.7828,3964726.30059182,0.7313,"Alagoas"
"AM",2012,4,"2012-T4",84892.0567344,370,40708.58998156,174,47.9534,3964726.30059182,1.0268,"Amazonas"
"AP",2012,4,"2012-T4",22776.06377282,152,10261.38155578,66,45.0534,3964726.30059182,0.2588,"Amapa"
"BA",2012,4,"2012-T4",325804.99547555,504,153928.29037294,253,47.2455,3964726.30059182,3.8824,"Bahia"
"CE",2012,4,"2012-T4",177386.86564373,489,94159.14873529,267,53.0812,3964726.30059182,2.3749,"Ceara"
"DF",2012,4,"2012-T4",207133.17531773,656,101371.074254,332,48.94,3964726.30059182,2.5568,"Distrito Federal"
"ES",2012,4,"2012-T4",136668.41698183,745,75438.07483848,411,55.1979,3964726.30059182,1.9027,"Espirito Santo"
"GO",2012,4,"2012-T4",264271.30775679,738,152888.98967339,426,57.853,3964726.30059182,3.8562,"Goias"
"MA",2012,4,"2012-T4",82266.91113308,354,42926.09284026,188,52.1791,3964726.30059182,1.0827,"Maranhao"
"MG",2012,4,"2012-T4",761373.69392988,1473,378325.82273333,743,49.6899,3964726.30059182,9.5423,"Minas Gerais"
"MS",2012,4,"2012-T4",91658.61737659,413,52535.70046746,241,57.3167,3964726.30059182,1.3251,"Mato Grosso do Sul"
"MT",2012,4,"2012-T4",135620.52703124,542,66560.40025941,266,49.0784,3964726.30059182,1.6788,"Mato Grosso"
"PA",2012,4,"2012-T4",135480.90576548,336,71898.36746709,179,53.069,3964726.30059182,1.8135,"Para"
"PB",2012,4,"2012-T4",84231.8709491,311,41048.70810154,155,48.733,3964726.30059182,1.0353,"Paraiba"
"PE",2012,4,"2012-T4",273645.77840684,572,118948.35856148,255,43.468,3964726.30059182,3.0002,"Pernambuco"
