"ordem","script","inicio","fim","duracao_segundos","status","mensagem"
1,"processa_nivel_instrucao_brasil.R","2026-07-03 13:30:41 -0300","2026-07-03 13:46:08 -0300",926.956,"OK",""
2,"processa_nivel_instrucao_por_raca_cor.R","2026-07-03 13:46:08 -0300","2026-07-03 13:47:13 -0300",64.689,"OK",""
3,"processa_nivel_instrucao_por_regiao.R","2026-07-03 13:47:13 -0300","2026-07-03 13:48:17 -0300",64.717,"OK",""
4,"processa_nivel_instrucao_por_sexo.R","2026-07-03 13:48:17 -0300","2026-07-03 13:49:01 -0300",43.674,"OK",""
5,"processa_nivel_instrucao_por_uf.R","2026-07-03 13:49:01 -0300","2026-07-03 13:49:49 -0300",48.458,"OK",""
6,"processa_participacao_superior_completo_por_raca_cor.R","2026-07-03 13:49:49 -0300","2026-07-03 13:50:37 -0300",47.399,"OK",""
7,"processa_participacao_superior_completo_por_regiao.R","2026-07-03 13:50:37 -0300","2026-07-03 13:51:24 -0300",47.433,"OK",""
8,"processa_participacao_superior_completo_por_sexo.R","2026-07-03 13:51:24 -0300","2026-07-03 13:52:13 -0300",49.073,"OK",""
9,"processa_participacao_superior_completo_por_uf.R","2026-07-03 13:52:13 -0300","2026-07-03 13:53:01 -0300",47.592,"OK",""
10,"processa_sobreeducacao_brasil_por_ano_trimestre.R","2026-07-03 13:53:01 -0300","2026-07-03 14:12:36 -0300",1174.892,"OK",""
11,"processa_percentual_sobreeducados_por_ocupacao_ano_trimestre.R","2026-07-03 14:12:36 -0300","2026-07-03 14:13:24 -0300",47.771,"OK",""
12,"processa_percentual_sobreeducados_por_raca_cor.R","2026-07-03 14:13:24 -0300","2026-07-03 14:13:57 -0300",33.328,"OK",""
13,"processa_percentual_sobreeducados_por_regiao.R","2026-07-03 14:13:57 -0300","2026-07-03 14:14:30 -0300",33.106,"OK",""
14,"processa_percentual_sobreeducados_por_sexo.R","2026-07-03 14:14:30 -0300","2026-07-03 14:15:02 -0300",32.187,"OK",""
15,"processa_percentual_sobreeducados_por_uf.R","2026-07-03 14:15:02 -0300","2026-07-03 14:15:57 -0300",54.846,"OK",""
16,"processa_serie_comparacao_salarial_sobreeducados_vs_niveis_instrucao.R","2026-07-03 14:15:57 -0300","2026-07-03 14:17:00 -0300",62.777,"OK",""
17,"processa_ultimo_periodo_comparacao_salarial_sobreeducados_vs_niveis_instrucao.R","2026-07-03 14:17:00 -0300","2026-07-03 14:17:36 -0300",36.391,"OK",""
18,"processa_ultimo_periodo_percentual_sobreeducados_por_ocupacao_e_remuneracao.R","2026-07-03 14:17:36 -0300","2026-07-03 14:18:10 -0300",33.351,"OK",""
19,"processa_ultimo_periodo_remuneracao_media_por_nivel_instrucao.R","2026-07-03 14:18:10 -0300","2026-07-03 14:18:43 -0300",33.786,"OK",""
20,"processa_ultimo_periodo_remuneracao_media_por_raca_cor.R","2026-07-03 14:18:43 -0300","2026-07-03 14:19:15 -0300",31.615,"OK",""
21,"processa_ultimo_periodo_remuneracao_media_por_regiao.R","2026-07-03 14:19:15 -0300","2026-07-03 14:19:46 -0300",30.994,"OK",""
22,"processa_ultimo_periodo_remuneracao_media_por_sexo.R","2026-07-03 14:19:46 -0300","2026-07-03 14:20:17 -0300",31.253,"OK",""
23,"processa_ultimo_periodo_remuneracao_media_por_tipo_ocupacao_classificada.R","2026-07-03 14:20:17 -0300","2026-07-03 14:20:49 -0300",31.843,"OK",""
24,"processa_ultimo_periodo_remuneracao_media_por_uf.R","2026-07-03 14:20:49 -0300","2026-07-03 14:21:20 -0300",31.114,"OK",""
25,"processa_ultimo_periodo_remuneracao_media_sobreeducados_nao_sobreeducados_e_superior.R","2026-07-03 14:21:20 -0300","2026-07-03 14:21:51 -0300",31.13,"OK",""
