"ocupacao_codigo","ocupacao_nome","ocupacao_nivel_superior","Ano","Trimestre","periodo","peso_total_ocupados_ocupacao","registros_total_ocupados_ocupacao","peso_universo_superior_completo_classificado_ocupacao","registros_universo_superior_completo_classificado_ocupacao","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_total_ocupados_ocupacao","percentual_sobreeducados_entre_superior_completo_classificado_ocupacao","peso_sobreeducados_total_periodo","participacao_da_ocupacao_no_total_sobreeducados_periodo","registros_com_ocupacao_e_peso_valido","registros_com_rendimento_habitual","rendimento_habitual_medio_ponderado","registros_com_rendimento_efetivo","rendimento_efetivo_medio_ponderado"
"4110","Escriturários gerais",0,2025,4,"2025-T4",4022345.20297149,8199,1413880.42831946,3042,1413880.42831946,3042,35.1506,100,13434052.8383617,10.5246,8199,8112,2946.86830361226,8056,3166.75383847698
"5221","Comerciantes de lojas",0,2025,4,"2025-T4",3187421.25456051,7325,617354.74698627,1331,617354.74698627,1331,19.3685,100,13434052.8383617,4.5954,7325,7255,4100.0211738434,7188,4093.92151479198
"1219","Dirigentes de administração e de serviços não classificados anteriormente",0,2025,4,"2025-T4",604037.34884438,1123,404536.57662648,711,404536.57662648,711,66.9721,100,13434052.8383617,3.0113,1123,1121,9830.45742615016,1114,10277.9584323605
"5223","Balconistas e vendedores de lojas",0,2025,4,"2025-T4",3841527.39851328,7294,374050.91511222,773,374050.91511222,773,9.737,100,13434052.8383617,2.7843,7294,6973,2155.04996371158,6852,2311.4188694701
"2431","Profissionais da publicidade e da comercialização",0,2025,4,"2025-T4",471321.90257613,705,315660.83008023,464,315660.83008023,464,66.9735,100,13434052.8383617,2.3497,705,704,5970.91703800229,697,6352.40984829388
"3423","Instrutores de educação física e atividades recreativas",0,2025,4,"2025-T4",434412.33304186,775,302180.82419272,532,302180.82419272,532,69.5608,100,13434052.8383617,2.2494,775,771,3977.10999445559,768,4016.47773431248
"1221","Dirigentes de vendas e  comercialização",0,2025,4,"2025-T4",377557.10417475,642,263863.67210616,425,263863.67210616,425,69.8871,100,13434052.8383617,1.9641,642,641,11205.2996690516,639,11721.1149935986
"3411","Profissionais de nível médio do direito e serviços legais e afins",0,2025,4,"2025-T4",442177.3332305,915,259680.50254296,544,259680.50254296,544,58.7277,100,13434052.8383617,1.933,915,905,6839.28604952924,901,7311.67592217782
"3341","Supervisores de secretaria",0,2025,4,"2025-T4",477325.85063764,851,257361.74537393,462,257361.74537393,462,53.9174,100,13434052.8383617,1.9157,851,851,5135.42424848837,847,5560.01023728747
"1346","Gerentes de sucursais de bancos, de serviços financeiros e de seguros",0,2025,4,"2025-T4",288692.90004465,479,251716.52826987,418,251716.52826987,418,87.1918,100,13434052.8383617,1.8737,479,478,11639.0418228761,477,13192.7102375444
"5243","Vendedores a domicilio",0,2025,4,"2025-T4",1130381.16793948,2517,243499.26591744,447,243499.26591744,447,21.5413,100,13434052.8383617,1.8126,2517,2497,2658.5885697674,2450,2746.66749553593
"3221","Profissionais de nível médio de enfermagem",0,2025,4,"2025-T4",1158672.81759952,2412,232003.06117086,516,232003.06117086,516,20.0232,100,13434052.8383617,1.727,2412,2399,3237.27896071027,2381,3472.68772491056
"8322","Condutores de automóveis, taxis e caminhonetes",0,2025,4,"2025-T4",2205988.37429585,4263,227227.73422242,434,227227.73422242,434,10.3005,100,13434052.8383617,1.6914,4263,4252,3085.20478116608,4208,3133.87020564502
