"uf_sigla","uf_nome","regiao","registros_com_ocupacao_e_peso_valido","registros_com_rendimento_habitual","rendimento_habitual_medio_ponderado","registros_com_rendimento_efetivo","rendimento_efetivo_medio_ponderado"
"AC","Acre","Norte",3340,3228,2852.31919941606,3109,3093.82244932532
"AL","Alagoas","Nordeste",6811,6694,2535.64912583083,6469,2791.49492083596
"AM","Amazonas","Norte",6246,5548,2770.375054926,5217,3076.21992041682
"AP","Amapa","Norte",2171,2163,3412.32410992581,2156,3518.17077310215
"BA","Bahia","Nordeste",10062,9839,2482.73479962971,9357,2739.59487250108
"CE","Ceara","Nordeste",8617,8491,2597.35741571703,8302,2807.90477438699
"DF","Distrito Federal","Centro-Oeste",4265,4247,6719.50053239826,4143,7710.64288216928
"ES","Espirito Santo","Sudeste",8591,8378,3708.40640989964,8039,4032.84667535697
"GO","Goias","Centro-Oeste",8361,8289,3878.43169387594,8134,4192.18557955207
"MA","Maranhao","Nordeste",11481,11119,2239.80587729401,10649,2400.93737565928
"MG","Minas Gerais","Sudeste",18811,18471,3447.98144559824,17904,3866.599794112
"MS","Mato Grosso do Sul","Centro-Oeste",6314,6224,3768.40701123157,6054,4234.89163582343
"MT","Mato Grosso","Centro-Oeste",7465,7366,3940.2496105685,7272,4171.43116660068
"PA","Para","Norte",8642,8334,2528.23935718381,7895,2793.15804565657
"PB","Paraiba","Nordeste",6380,6262,2805.57874154582,6101,3034.37613581448
"PE","Pernambuco","Nordeste",7169,7051,2830.12084743283,6887,3109.49280563082
"PI","Piaui","Nordeste",4706,4605,2628.40854921207,4369,2899.61145509587
"PR","Parana","Sul",15250,15009,4179.74980883983,14659,4600.37052764385
"RJ","Rio de Janeiro","Sudeste",15322,15241,4351.7948553156,15090,4773.18335461729
"RN","Rio Grande do Norte","Nordeste",3933,3888,2953.19386104786,3809,3291.66823922204
"RO","Rondonia","Norte",4040,3937,3484.48449358327,3859,3710.82303128798
"RR","Roraima","Norte",2612,2586,3531.91882604899,2413,3987.7867299211
"RS","Rio Grande do Sul","Sul",13210,12813,4127.2360079143,12318,4582.7498609311
"SC","Santa Catarina","Sul",17028,16812,4297.95455038352,16635,4627.5958639276
"SE","Sergipe","Nordeste",3701,3602,3030.82917378607,3503,3310.70928886965
"SP","Sao Paulo","Sudeste",20208,20057,4377.83379170908,19756,4800.71297304665
"TO","Tocantins","Norte",3621,3539,3330.77262573106,3400,3638.17781238911
